Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL
Craig Reynolds,DET,17.5,69.4,0.1,4.4,48.7,0.2,0
Jordan Mims,BUF,0,49.1,0.3,5,36.4,0.2,0
Zander Horvath,LAC,6.1,14.3,0,5.5,25.1,1.1,0
Rico Dowdle,DAL,27.7,82.6,0.4,2.6,22.2,0.1,0
Ty'Son Williams,ARI,19.3,67.5,0.4,3.6,25.1,0.1,0
Mike Boone,HOU,17.9,73.7,0.1,3.9,29.8,0.1,0
C.J. Ham,MIN,6.9,16.7,0.1,7.3,37.3,0.3,0
Alec Ingold,MIA,4.3,11.2,0.1,6.4,46.1,0.3,0
Trey Sermon,PHI,17.5,58.8,0.1,3.9,29.6,0.1,0.1
Damarea Crockett,NYJ,21,59.6,0.5,2.3,18,0.1,0
La'Mical Perine,KC,4.2,17.6,0.2,5,35.7,0.3,0
Patrick Ricard,BAL,6.4,15.5,0,7,40,0.3,0.6
Jermar Jefferson,DET,4.6,19.4,0.2,4.4,34.5,0.3,0
Ronnie Rivers,LAR,4.6,30.9,0.2,4.3,28.8,0.2,0
Trestan Ebner,CHI,17.7,59.9,0.1,2.9,26.5,0.1,0.1
Julius Chestnut,TEN,14.5,48.1,0.1,3.7,27.2,0.1,0.1
Qadree Ollison,JAC,4.5,18.7,0.2,4.5,31.9,0.2,0
Jason Cabinda,DET,4.6,12.5,0.1,4.4,33.3,0.3,0
Larry Rountree III,LAC,4.3,17.6,0,4.8,36.1,0.2,0
Giovanni Ricci,CAR,4.6,19.6,0.2,4.1,29.9,0.2,0
Jason Huntley,PIT,4.9,20.7,0.2,4,29,0.2,0
Patrick Laird,TB,4.4,18.2,0.2,4.1,30.5,0.2,0
Spencer Brown,CAR,4.6,19.7,0.2,4.1,28.5,0.2,0
Hunter Luepke,DAL,0,17.7,0.2,4.4,20.7,0.2,0
Nate McCrary,CLE,5.4,22.7,0.1,3.8,28.1,0.2,0
Gerrid Doaks,HOU,4.7,19.8,0.1,4,27.6,0.2,0
Jaret Patterson,WAS,10.1,33.5,0.2,2.4,16.3,0.1,0
Jonathan Ward,TEN,10.1,42.9,0.2,1.9,14,0.1,0
Adam Prentice,NO,0,11.3,0.1,4,19.7,0.2,0
Henry Pearson,GB,0,13,0.1,4,17.4,0.2,0
Avery Williams,ATL,9.3,26.6,0.1,3.5,16.2,0.1,0
Michael Burton,DEN,4.7,12.1,0.1,3.4,19,0.2,0
Jack Colletto,SF,0,7.5,0.1,3.8,17,0.2,0
Clint Ratkovich,ATL,0,7.9,0.1,3.8,16.3,0.2,0
Jakob Johnson,LV,0,2,0,4.5,16,0.2,0
Khari Blasingame,CHI,5.8,13.8,0.1,2.6,12.1,0.1,0
Keith Smith,ATL,5.4,12.2,0.1,2.8,11.5,0.1,0
John Kelly Jr.,CLE,5.4,14.4,0.1,2.2,16.1,0.1,0
Zach Ojile,MIN,0,0.8,0,0.4,1.9,0,0
Nick Bellore,SEA,0,0,0,0,0,0,0
Keaton Mitchell,BAL,23.7,73.9,0,0,27.4,0,0.1
Mohamed Ibrahim,DET,29.5,93.5,0,0,34.7,0,0.2
