"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"47","Kareem Hunt (FA)","43","179","4.2","16","0","2","37","44","285","7.7","1","0","9","101.4","11.3","11.8%"
"48","Rex Burkhead (FA)","65","302","4.6","33","2","3","27","38","279","10.3","0","1","13","101.1","7.8","5.1%"
"49","Boston Scott (PHI)","61","245","4.0","25","1","5","24","26","204","8.5","0","1","11","96.9","8.8","0.8%"
"50","Frank Gore (FA)","166","599","3.6","41","6","2","13","16","100","7.7","0","0","16","94.9","5.9","12.1%"
"51","Chris Thompson (FA)","37","138","3.7","16","0","0","42","58","378","9.0","0","0","11","93.6","8.5","0.0%"
"52","Gus Edwards (BAL)","133","711","5.3","63","9","2","7","7","45","6.4","0","1","16","92.6","5.8","10.9%"
"53","Tony Pollard (DAL)","86","455","5.3","44","7","2","15","20","107","7.1","1","1","15","89.2","5.9","99.8%"
"54","Kerryon Johnson (FA)","113","403","3.6","20","1","3","10","15","127","12.7","1","1","8","85.0","10.6","0.0%"
"55","J.D. McKissic (FA)","38","205","5.4","44","4","0","34","42","233","6.9","1","0","16","83.8","5.2","0.1%"
"56","Chase Edmonds (TB)","60","303","5.1","37","5","4","12","21","105","8.8","1","0","13","82.8","6.4","2.2%"
"57","Jalen Richard (FA)","39","145","3.7","13","0","0","36","43","323","9.0","0","0","16","82.8","5.2","1.0%"
"58","Rashaad Penny (PHI)","65","370","5.7","58","8","3","8","11","83","10.4","1","1","10","75.3","7.5","85.9%"
"59","Dare Ogunbowale (HOU)","11","17","1.5","12","0","2","35","46","286","8.2","0","1","16","75.3","4.7","0.1%"
"60","Giovani Bernard (FA)","53","170","3.2","25","1","0","30","43","234","7.8","0","1","16","68.4","4.3","0.0%"
"61","Alexander Mattison (MIN)","100","462","4.6","35","5","1","10","12","82","8.2","0","1","13","68.4","5.3","90.5%"
"62","Patrick Laird (TB)","62","168","2.7","18","0","1","23","30","204","8.9","0","0","15","68.2","4.5","0.0%"
"63","Darrel Williams (FA)","41","141","3.4","41","3","3","15","20","167","11.1","1","1","12","67.8","5.7","2.0%"
"64","Brian Hill (FA)","78","323","4.1","27","2","2","10","14","69","6.9","1","0","12","67.2","5.6","0.0%"
"65","Dion Lewis (FA)","54","210","3.9","17","0","0","25","32","164","6.6","1","1","16","66.4","4.2","2.0%"
"66","Ty Johnson (FA)","63","273","4.3","40","3","0","24","31","109","4.5","0","1","16","60.2","3.8","0.1%"
"67","Malcolm Brown (FA)","69","255","3.7","17","0","5","2","6","16","8.0","0","0","14","59.1","4.2","0.0%"
"68","Benny Snell Jr. (FA)","108","426","3.9","23","3","2","3","4","23","7.7","0","1","13","57.9","4.5","2.0%"
"69","Derrius Guice (FA)","42","245","5.8","60","7","2","7","9","79","11.3","1","0","5","57.4","11.5","1.1%"
"70","Jordan Wilkins (FA)","51","307","6.0","55","6","2","7","11","43","6.1","0","0","14","54.0","3.9","0.0%"
"71","Kalen Ballage (FA)","74","135","1.8","8","0","3","14","24","63","4.5","0","0","12","51.8","4.3","0.0%"
"72","Ryquell Armstead (FA)","35","108","3.1","16","0","0","14","24","144","10.3","2","0","16","51.2","3.2","0.0%"
"73","Brandon Bolden (LV)","15","68","4.5","21","1","3","9","11","111","12.3","1","0","15","50.9","3.4","0.2%"
"74","Kyle Juszczyk (SF)","3","7","2.3","6","0","0","20","24","239","12.0","1","0","12","50.6","4.2","0.4%"
"75","Mike Boone (HOU)","49","273","5.6","59","8","3","3","4","17","5.7","0","0","16","50.0","3.1","0.2%"
"76","Justice Hill (BAL)","58","225","3.9","18","0","2","8","15","70","8.8","0","0","16","49.5","3.1","0.3%"
"77","Wayne Gallman Jr. (FA)","29","110","3.8","22","1","2","11","16","102","9.3","1","1","10","48.2","4.8","0.0%"
"78","Jeff Wilson Jr. (MIA)","27","105","3.9","25","1","4","3","5","34","11.3","1","0","11","46.9","4.3","64.3%"
"79","Bo Scarbrough (FA)","89","377","4.2","30","3","1","1","4","5","5.0","0","1","6","43.2","7.2","0.0%"
"80","Mark Walton (FA)","53","201","3.8","19","0","0","15","21","89","5.9","0","1","7","42.0","6.0","2.0%"
"81","Jonathan Williams (WAS)","49","235","4.8","48","3","1","5","5","59","11.8","0","0","9","40.4","4.5","0.2%"
"82","Ameer Abdullah (LV)","23","115","5.0","15","0","0","15","21","88","5.9","1","1","16","39.3","2.5","0.5%"
"83","Dontrell Hilliard (FA)","13","49","3.8","11","0","2","12","15","92","7.7","0","0","14","38.1","2.7","0.1%"
"84","C.J. Ham (MIN)","7","17","2.4","9","0","0","17","26","149","8.8","1","1","16","37.6","2.4","0.1%"
"85","Ito Smith (FA)","22","106","4.8","28","1","1","11","14","87","7.9","0","0","7","36.3","5.2","0.0%"
"86","Bilal Powell (FA)","59","229","3.9","17","0","0","7","12","33","4.7","0","0","14","33.2","2.4","0.0%"
"87","Ty Montgomery (NE)","32","103","3.2","15","0","0","13","17","90","6.9","0","0","16","32.3","2.0","0.7%"
"88","Darwin Thompson (FA)","37","128","3.5","12","0","1","9","10","43","4.8","0","0","12","32.1","2.7","0.0%"
"89","Myles Gaskin (MIA)","36","133","3.7","27","1","1","7","12","51","7.3","0","0","7","31.4","4.5","0.1%"
"90","Justin Jackson (FA)","29","200","6.9","40","5","0","9","11","22","2.4","0","0","7","31.2","4.5","0.1%"
"91","Qadree Ollison (JAC)","22","50","2.3","6","0","4","1","2","7","7.0","0","0","8","30.7","3.8","0.0%"
"92","T.J. Yeldon (FA)","17","63","3.7","12","0","0","13","15","124","9.5","0","1","6","29.7","5.0","0.0%"
"93","Reggie Bonnafon (FA)","16","116","7.3","59","4","1","6","10","57","9.5","0","0","16","29.3","1.8","0.0%"
"94","C.J. Prosise (FA)","23","72","3.1","17","0","1","10","12","76","7.6","0","1","9","28.8","3.2","0.0%"
"95","Travis Homer (CHI)","18","114","6.3","29","1","0","11","13","56","5.1","0","0","16","28.0","1.8","0.3%"
"96","Wendell Smallwood (FA)","22","81","3.7","17","0","0","9","13","64","7.1","0","0","15","23.5","1.6","0.0%"
"97","Darrell Henderson Jr. (FA)","39","147","3.8","22","1","0","4","6","37","9.3","0","0","13","22.4","1.7","0.6%"
"98","Trey Edmunds (FA)","22","92","4.2","45","3","0","6","7","48","8.0","0","0","12","20.0","1.7","0.0%"
"99","Patrick Ricard (BAL)","0","0","0","0","0","0","8","11","47","5.9","1","0","16","18.7","1.2","0.1%"
"100","Alec Ingold (MIA)","10","17","1.7","4","0","0","6","6","44","7.3","1","0","16","18.1","1.1","0.1%"
"101","Darren Sproles (FA)","17","66","3.9","17","0","0","6","10","24","4.0","0","0","6","17.0","2.8","0.1%"
"102","Danny Vitale (FA)","1","3","3.0","3","0","0","7","12","97","13.9","0","0","15","17.0","1.1","0.0%"
"103","Wes Hills (FA)","10","21","2.1","15","0","2","2","2","1","0.5","0","0","1","16.2","16.2","0.0%"
"104","Andy Janovich (FA)","1","1","1.0","1","0","1","5","5","42","8.4","0","0","8","15.3","1.9","0.0%"
"105","D'Ernest Johnson (JAC)","4","21","5.3","13","0","0","6","7","71","11.8","0","0","16","15.2","1.0","0.6%"
"106","Kenjon Barner (FA)","4","28","7.0","12","0","0","6","8","22","3.7","0","1","14","15.1","1.1","0.0%"
"107","Kerrith Whyte Jr. (FA)","24","122","5.1","21","1","0","1","1","9","9.0","0","0","6","14.1","2.4","0.0%"
"108","Derek Watt (FA)","7","10","1.4","3","0","1","3","5","32","10.7","0","0","16","13.2","0.8","0.1%"
"109","Devontae Booker (FA)","2","9","4.5","5","0","0","6","9","57","9.5","0","0","16","12.6","0.8","0.0%"
"110","Spencer Ware (FA)","17","51","3.0","6","0","0","5","7","22","4.4","0","0","3","12.3","4.1","0.0%"
"111","Mike Davis (FA)","13","27","2.1","8","0","0","7","8","22","3.1","0","0","12","11.9","1.0","1.0%"
"112","Zach Line (FA)","7","20","2.9","5","0","0","6","10","36","6.0","0","0","12","11.6","1.0","0.0%"
"113","Javorius Allen (FA)","10","36","3.6","19","0","1","1","2","9","9.0","0","0","11","11.5","1.0","0.1%"
"114","Tra Carson (FA)","18","48","2.7","12","0","0","4","4","18","4.5","0","0","4","10.6","2.7","0.0%"
"115","Patrick DiMarco (FA)","3","7","2.3","4","0","0","5","7","41","8.2","0","0","16","9.8","0.6","0.0%"
"116","Alex Armah Jr. (WAS)","6","11","1.8","4","0","1","2","2","6","3.0","0","0","16","9.7","0.6","0.0%"
"117","Marshawn Lynch (FA)","12","34","2.8","15","0","1","0","0","0","0","0","0","2","9.4","4.7","0.3%"
"118","Khari Blasingame (CHI)","0","0","0","0","0","0","4","5","54","13.5","0","0","6","9.4","1.6","0.0%"
"119","Troymaine Pope (FA)","10","20","2.0","8","0","0","2","3","14","7.0","1","1","14","9.4","0.7","0.0%"
"120","Jon Hilliman (FA)","30","91","3.0","10","0","0","3","4","1","0.3","0","2","3","8.2","2.7","0.0%"
"121","Devine Ozigbo (FA)","9","27","3.0","9","0","0","3","5","23","7.7","0","0","10","8.0","0.8","0.0%"
"122","Dwayne Washington (FA)","8","60","7.5","31","2","0","1","1","6","6.0","0","0","16","7.6","0.5","0.0%"
"123","Elijhaa Penny (FA)","15","39","2.6","6","0","0","2","4","9","4.5","0","0","16","6.8","0.4","0.0%"
"124","Taiwan Jones (FA)","9","40","4.4","11","0","0","1","1","9","9.0","0","0","11","5.9","0.5","0.0%"
"125","Nick Bawden (NYJ)","0","0","0","0","0","0","4","6","17","4.3","0","0","10","5.7","0.6","0.0%"
"126","Anthony Sherman (FA)","4","9","2.3","5","0","0","2","3","22","11.0","0","0","16","5.1","0.3","0.0%"
"127","Paul Perkins (FA)","12","29","2.4","13","0","0","1","1","9","9.0","0","0","4","4.8","1.2","0.0%"
"128","T.J. Logan (FA)","3","10","3.3","6","0","0","2","3","13","6.5","0","0","12","4.3","0.4","0.0%"
"129","C.J. Anderson (FA)","16","43","2.7","9","0","0","0","0","0","0","0","0","2","4.3","2.2","1.0%"
"130","Tyler Ervin (FA)","1","10","10.0","10","0","0","2","4","11","5.5","0","0","10","4.1","0.4","0.0%"
"131","Zach Zenner (FA)","3","-2","-0.7","1","0","0","2","3","19","9.5","0","0","6","3.7","0.6","0.0%"
"132","Keith Smith (ATL)","5","8","1.6","3","0","0","1","4","13","13.0","0","0","16","3.1","0.2","0.1%"
"133","Jay Ajayi (FA)","10","30","3.0","11","0","0","0","1","0","0","0","0","4","3.0","0.8","7.0%"
"134","Dalyn Dawkins (FA)","11","26","2.4","14","0","0","0","1","0","0","0","0","2","2.6","1.3","0.1%"
"135","Roosevelt Nix (FA)","0","0","0","0","0","0","2","3","4","2.0","0","0","3","2.4","0.8","0.0%"
"136","Ricky Ortiz (FA)","0","0","0","0","0","0","1","1","8","8.0","0","0","2","1.8","0.9","0.0%"
"137","Samaje Perine (DEN)","5","16","3.2","9","0","0","0","0","0","0","0","0","7","1.6","0.2","83.7%"
"138","Jakob Johnson (LV)","0","0","0","0","0","0","1","2","5","5.0","0","0","4","1.5","0.4","0.0%"
"139","Senorise Perry (FA)","3","3","1.0","6","0","0","1","1","1","1.0","0","0","11","1.4","0.1","0.0%"
"140","Damien Harris (BUF)","4","12","3.0","13","0","0","0","0","0","0","0","0","2","1.2","0.6","58.0%"
"141","Josh Adams (FA)","8","12","1.5","10","0","0","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"142","Dexter Williams (FA)","5","11","2.2","5","0","0","0","0","0","0","0","0","4","1.1","0.3","0.0%"
"143","Buddy Howell (FA)","5","10","2.0","4","0","0","0","0","0","0","0","0","16","1.0","0.1","0.0%"
"144","John Kelly Jr. (CLE)","3","9","3.0","6","0","0","0","0","0","0","0","0","5","0.9","0.2","0.2%"
"145","Jordan Scarlett (FA)","4","9","2.3","6","0","0","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"146","Josh Ferguson (FA)","3","9","3.0","7","0","0","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"147","Ryan Nall (FA)","2","8","4.0","7","0","0","0","0","0","0","0","0","8","0.8","0.1","0.0%"
"148","Tony Brooks-James (FA)","8","7","0.9","8","0","0","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"149","De'Lance Turner (FA)","4","6","1.5","5","0","0","0","0","0","0","0","0","9","0.6","0.1","0.1%"
"150","Alfred Morris (FA)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"151","James Develin (FA)","2","3","1.5","2","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"152","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.3%"
"153","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"154","Andrew Beck (HOU)","1","3","3.0","3","0","0","9","12","90","10.0","1","0","16","0.0","0.0","0.0%"
"155","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"156","Nick Bellore (SEA)","0","0","0","0","0","0","2","2","23","11.5","1","0","14","0.0","0.0","35.0%"
"157","DuJuan Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"158","Lamar Miller (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"159","Chris Ivory (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Stevan Ridley (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Cordarrelle Patterson (ATL)","17","103","6.1","46","3","0","11","17","83","7.5","0","0","16","0.0","0.0","17.0%"
"162","Christine Michael (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"163","Mike Gillislee (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"164","Robert Turbin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"165","Jamize Olawale (FA)","0","0","0","0","0","0","0","2","0","0","0","0","16","0.0","0.0","0.0%"
"166","Travaris Cadet (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"167","LeGarrette Blount (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"168","Jamaal Charles (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"169","Jonathan Stewart (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Chandler Cox (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"171","Justin Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"172","Joe Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Jeremy McNichols (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","J.P. Holtz (FA)","0","0","0","0","0","0","7","8","91","13.0","0","0","15","0.0","0.0","0.0%"
"175","Tre Madden (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"176","Brandin Bryant (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"177","Bryce Love (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.7%"
"179","Jason Cabinda (DET)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"180","Trenton Cannon (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"181","Lavon Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"182","Donnie Ernsberger (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"183","Jordan Chunn (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"184","Detrez Newsome (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"185","D.J. Foster (FA)","0","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"186","Jeremy Hill (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"187","Derrick Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"188","David Fluellen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"189","Rod Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"190","Kenneth Dixon (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"191","Alex Collins (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","19.0%"
"192","Michael Burton (DEN)","0","0","0","0","0","0","0","1","0","0","0","0","11","0.0","0.0","0.0%"
"193","Cameron Artis-Payne (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"194","Jeremy Langford (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Corey Clement (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","4","-4.0","-1.0","0.2%"
""
""
