"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","287","1,387","4.8","84","18","15","116","142","1,005","8.7","4","0","16","471.2","29.5","100.0%"
"2","Aaron Jones (GB)","236","1,084","4.6","56","10","16","49","68","474","9.7","3","2","16","314.8","19.7","98.5%"
"3","Ezekiel Elliott (FA)","301","1,357","4.5","33","7","12","54","71","420","7.8","2","2","16","311.7","19.5","48.6%"
"4","Austin Ekeler (LAC)","132","557","4.2","35","5","3","92","108","993","10.8","8","2","16","309.0","19.3","100.0%"
"5","Derrick Henry (TEN)","303","1,540","5.1","74","20","16","18","24","206","11.4","2","3","15","294.6","19.6","99.9%"
"6","Dalvin Cook (FA)","250","1,135","4.5","75","12","13","53","63","519","9.8","0","2","14","292.4","20.9","94.0%"
"7","Leonard Fournette (FA)","265","1,152","4.3","81","18","3","76","100","522","6.9","0","1","15","259.4","17.3","17.1%"
"8","Nick Chubb (CLE)","298","1,494","5.0","88","24","8","36","49","278","7.7","0","3","16","255.2","16.0","99.9%"
"9","Alvin Kamara (NO)","171","797","4.7","40","8","5","81","97","533","6.6","1","1","14","248.5","17.8","93.6%"
"10","Saquon Barkley (NYG)","217","1,003","4.6","68","18","6","52","73","438","8.4","2","0","13","244.1","18.8","99.9%"
"11","Mark Ingram II (FA)","202","1,018","5.0","53","11","10","26","29","247","9.5","5","2","15","242.5","16.2","0.1%"
"12","Chris Carson (FA)","278","1,230","4.4","59","11","7","37","47","266","7.2","2","4","15","232.6","15.5","0.3%"
"13","Joe Mixon (CIN)","278","1,137","4.1","41","9","5","35","45","287","8.2","3","0","16","225.4","14.1","98.7%"
"14","Todd Gurley II (FA)","223","857","3.8","25","5","12","31","49","207","6.7","2","2","15","219.4","14.6","0.1%"
"15","Miles Sanders (CAR)","179","818","4.6","65","13","3","50","63","509","10.2","3","1","16","218.7","13.7","96.3%"
"16","Le'Veon Bell (FA)","245","789","3.2","19","0","3","66","78","461","7.0","1","1","15","215.0","14.3","0.1%"
"17","Kenyan Drake (FA)","170","817","4.8","80","8","8","50","68","345","6.9","0","1","14","214.2","15.3","0.6%"
"18","James White (FA)","67","263","3.9","32","2","1","72","95","645","9.0","5","1","15","200.2","13.3","0.1%"
"19","Phillip Lindsay (FA)","224","1,011","4.5","40","12","7","35","48","196","5.6","0","0","16","197.7","12.4","0.0%"
"20","Devonta Freeman (FA)","184","656","3.6","28","3","2","59","70","410","6.9","4","2","14","197.6","14.1","0.0%"
"21","Josh Jacobs (LV)","242","1,150","4.8","51","14","7","20","27","166","8.3","0","1","13","191.6","14.7","99.9%"
"22","Marlon Mack (FA)","247","1,091","4.4","63","14","8","14","17","82","5.9","0","0","14","181.3","13.0","6.0%"
"23","Melvin Gordon III (BAL)","162","612","3.8","24","2","8","42","55","296","7.0","1","3","12","180.8","15.1","1.9%"
"24","David Montgomery (DET)","242","889","3.7","55","6","6","25","35","185","7.4","1","2","16","170.4","10.7","91.9%"
"25","Ronald Jones II (DAL)","172","724","4.2","49","9","6","31","40","309","10.0","0","2","16","166.3","10.4","1.8%"
"26","Raheem Mostert (MIA)","137","772","5.6","41","7","8","14","22","180","12.9","2","2","16","165.2","10.3","61.7%"
"27","Tarik Cohen (FA)","64","213","3.3","19","0","0","79","104","456","5.8","3","0","16","163.9","10.2","0.0%"
"28","Latavius Murray (BUF)","146","637","4.4","30","4","5","34","43","235","6.9","1","0","16","157.2","9.8","1.8%"
"29","Duke Johnson Jr. (FA)","83","410","4.9","40","6","2","44","62","410","9.3","3","1","16","154.0","9.6","0.0%"
"30","Carlos Hyde (FA)","245","1,070","4.4","58","16","6","10","16","42","4.2","0","2","16","153.2","9.6","0.0%"
"31","Sony Michel (FA)","247","912","3.7","26","3","7","12","20","94","7.8","0","1","16","152.6","9.5","0.1%"
"32","Devin Singletary (HOU)","151","775","5.1","38","8","2","29","41","194","6.7","2","1","12","147.9","12.3","50.2%"
"33","Adrian Peterson (FA)","211","898","4.3","32","7","5","17","23","142","8.4","0","2","16","147.0","9.2","2.1%"
"34","Jamaal Williams (NO)","107","456","4.3","45","3","1","39","45","253","6.5","5","0","14","145.9","10.4","88.8%"
"35","James Conner (ARI)","116","464","4.0","25","2","4","34","38","251","7.4","3","1","10","145.5","14.6","94.3%"
"36","Royce Freeman (LAR)","132","496","3.8","26","1","3","43","50","256","6.0","1","0","16","142.2","8.9","1.0%"
"37","David Johnson (FA)","94","345","3.7","18","0","2","36","47","370","10.3","4","1","13","141.5","10.9","0.0%"
"38","Damien Williams (FA)","111","498","4.5","91","8","5","30","37","213","7.1","2","1","11","141.1","12.8","0.0%"
"39","Tevin Coleman (FA)","137","544","4.0","48","7","6","21","30","180","8.6","1","0","14","135.4","9.7","0.0%"
"40","DeAndre Washington (FA)","108","387","3.6","36","2","3","36","41","292","8.1","0","0","16","121.9","7.6","11.0%"
"41","LeSean McCoy (FA)","101","465","4.6","39","6","4","28","34","181","6.5","1","2","13","118.6","9.1","2.0%"
"42","Nyheim Hines (BUF)","52","199","3.8","18","0","2","44","58","320","7.3","0","1","16","117.9","7.4","1.9%"
"43","Peyton Barber (FA)","154","470","3.1","17","0","6","16","24","115","7.2","1","1","16","116.5","7.3","1.0%"
"44","Jordan Howard (FA)","119","525","4.4","20","1","6","10","14","69","6.9","1","0","10","111.4","11.1","0.0%"
"45","Jaylen Samuels (FA)","66","175","2.7","13","0","1","47","57","305","6.5","1","1","14","105.4","7.5","0.0%"
"46","Matt Breida (NYG)","123","623","5.1","83","9","1","19","22","120","6.3","1","1","13","103.3","7.9","0.9%"
