,Player,Prediction,Actual,% Error
100,Devin Singletary (HOU),12.667144,10.5,20.63946496872675
101,David Montgomery (DET),12.434211,11.1,12.019916912456894
102,Raheem Mostert (MIA),12.434211,10.5,18.42105502174014
103,AJ Dillon (GB),12.434211,9.9,25.598088659421357
104,Dameon Pierce (HOU),12.734605,12.8,0.5108997225761469
105,Antonio Gibson (WAS),10.331467,11.1,6.923723650408217
106,Tyler Allgeier (ATL),11.1907835,10.0,11.907835006713867
107,Jeff Wilson Jr. (MIA),10.703265,9.9,8.113789799237487
108,Cordarrelle Patterson (ATL),8.540518,11.9,28.23094279826189
109,Latavius Murray (BUF),9.60396,11.0,12.691272388805041
110,Jonathan Taylor (IND),12.434211,12.2,1.9197604695304553
111,Samaje Perine (DEN),9.49684,8.9,6.706062059723925
112,Cam Akers (LAR),9.8218355,9.4,4.487611892375536
113,Rachaad White (TB),11.687497,8.2,42.530452914354285
114,Isiah Pacheco (KC),7.283518,7.9,7.803571676906156
115,D'Onta Foreman (CHI),10.084037,8.2,22.97605886691955
116,Kareem Hunt (FA),9.504838,7.5,26.731173197428387
117,Michael Carter (NYJ),10.331467,7.9,30.77805917474287
118,Khalil Herbert (CHI),7.9604707,9.1,12.522300259097587
119,Breece Hall (NYJ),7.6099567,16.4,53.597824747969455
120,Brian Robinson Jr. (WAS),9.720537,9.4,3.409970060307925
121,James Cook (BUF),7.9865837,6.3,26.771169995504717
122,Kenyan Drake (FA),8.066647,8.7,7.279924414623736
123,Clyde Edwards-Helaire (KC),8.066647,9.8,17.687279837472104
124,Jaylen Warren (PIT),8.047127,5.8,38.74356500033675
125,Damien Harris (BUF),8.066647,8.3,2.8114870370152567
126,Eno Benjamin (NO),7.9865837,6.9,15.7475899958956
127,James Robinson (NYG),7.511188,8.1,7.269283577247898
128,Alexander Mattison (MIN),7.6818924,5.2,47.72869990422175
129,Kenneth Gainwell (PHI),7.4098535,5.2,42.49718189239501
130,Chuba Hubbard (CAR),7.511188,6.3,19.2252068292527
131,Melvin Gordon III (BAL),7.9865837,8.7,8.200187244634511
132,Deon Jackson (IND),7.8775516,7.0,12.536450794764928
133,Nyheim Hines (BUF),7.061423,5.1,38.459271075678814
134,J.K. Dobbins (BAL),7.511188,10.2,26.36090166428509
135,Dontrell Hilliard (FA),6.9188995,6.4,8.10780525207519
136,Chase Edmonds (TB),7.6818924,5.7,34.77004201788651
137,Darrell Henderson Jr. (FA),8.066647,7.4,9.008737512536946
138,Joshua Kelley (LAC),7.511188,5.4,39.096074634128136
139,Gus Edwards (BAL),7.4451914,6.6,12.805930050936617
140,Zonovan Knight (NYJ),7.511188,8.4,10.58109487806048
141,J.D. McKissic (FA),6.979444,6.2,12.571677853984214
142,Rashaad Penny (PHI),7.127784,10.4,31.46361754490779
143,Elijah Mitchell (SF),7.127784,8.7,18.07145085828057
144,Javonte Williams (DEN),7.138497,10.5,32.01431546892439
145,Malik Davis (DAL),6.680498,5.7,17.2017214591043
146,Tevin Coleman (FA),7.904334,7.3,8.278548880799178
147,Ty Montgomery (NE),7.904334,10.3,23.25889254079282
148,Tyler Badie (DEN),7.904334,9.4,15.911339698953835
149,Anthony McFarland Jr. (PIT),7.904334,6.1,29.579247021284267
