"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"111","Tarik Cohen (FA)","14","74","5.3","17","0","0","6","9","41","6.8","0","0","3","17.5","5.8","0.0%"
"112","Patrick Ricard (BAL)","1","-1","-1.0","0","0","0","9","12","45","5.0","1","1","15","17.4","1.2","0.1%"
"113","DeAndre Washington (FA)","31","91","2.9","16","0","0","5","10","30","6.0","0","0","4","17.1","4.3","11.0%"
"114","D'Onta Foreman (CHI)","22","95","4.3","15","0","0","1","1","5","5.0","1","0","6","17.0","2.8","37.3%"
"115","Reggie Bonnafon (FA)","12","69","5.8","22","1","0","2","2","18","9.0","1","0","2","16.7","8.4","0.0%"
"116","Jaylen Samuels (FA)","9","28","3.1","6","0","0","9","14","46","5.1","0","0","14","16.4","1.2","0.0%"
"117","T.J. Yeldon (FA)","10","70","7.0","34","2","0","1","4","22","22.0","1","0","3","16.2","5.4","0.0%"
"118","Darrynton Evans (BUF)","14","54","3.9","9","0","0","2","4","27","13.5","1","0","5","16.1","3.2","0.0%"
"119","Ty Montgomery (NE)","19","101","5.3","36","2","0","3","6","27","9.0","0","0","6","15.8","2.6","0.7%"
"120","Saquon Barkley (NYG)","19","34","1.8","18","0","0","6","9","60","10.0","0","0","2","15.4","7.7","99.9%"
"121","Mike Boone (HOU)","11","59","5.4","19","0","1","2","2","10","5.0","0","0","16","14.9","0.9","0.2%"
"122","Devine Ozigbo (FA)","1","1","1.0","1","0","0","9","9","42","4.7","0","0","8","13.3","1.7","0.0%"
"123","Justice Hill (BAL)","12","60","5.0","19","0","0","5","5","20","4.0","0","0","12","13.0","1.1","0.3%"
"124","C.J. Prosise (FA)","10","19","1.9","7","0","0","5","5","18","3.6","1","1","10","12.7","1.3","0.0%"
"125","Tevin Coleman (FA)","28","53","1.9","12","0","0","4","5","34","8.5","0","0","8","12.7","1.6","0.0%"
"126","J.J. Taylor (NE)","23","110","4.8","28","1","0","1","2","4","4.0","0","0","6","12.4","2.1","0.1%"
"127","Theo Riddick (FA)","6","14","2.3","11","0","0","5","6","43","8.6","0","0","5","10.7","2.1","0.0%"
"128","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","2","16","8.0","1","0","14","9.6","0.7","0.1%"
"129","Artavis Pierce (FA)","6","34","5.7","23","1","1","0","0","0","0","0","0","5","9.4","1.9","0.0%"
"130","Marlon Mack (FA)","4","26","6.5","18","0","0","3","3","30","10.0","0","0","1","8.6","8.6","6.0%"
"131","Michael Burton (DEN)","7","18","2.6","7","0","0","4","4","28","7.0","0","0","15","8.6","0.6","0.0%"
"132","Anthony Sherman (FA)","3","8","2.7","6","0","0","1","2","5","5.0","1","0","12","8.3","0.7","0.0%"
"133","Jonathan Ward (TEN)","0","0","0","0","0","0","1","1","11","11.0","1","0","14","8.1","0.6","0.0%"
"134","Khari Blasingame (CHI)","0","0","0","0","0","0","4","5","39","9.8","0","0","15","7.9","0.5","0.0%"
"135","Trenton Cannon (FA)","10","33","3.3","13","0","0","3","3","16","5.3","0","0","14","7.9","0.6","0.0%"
"136","Buddy Howell (FA)","16","64","4.0","9","0","0","1","2","3","3.0","0","0","14","7.7","0.6","0.0%"
"137","Alex Armah Jr. (WAS)","6","9","1.5","3","0","0","5","9","18","3.6","0","0","16","7.7","0.5","0.0%"
"138","Dontrell Hilliard (FA)","9","48","5.3","19","0","0","1","1","2","2.0","0","0","7","6.0","0.9","0.1%"
"139","Elijhaa Penny (FA)","6","15","2.5","5","0","0","2","3","20","10.0","0","0","14","5.5","0.4","0.0%"
"140","Jonathan Williams (WAS)","1","5","5.0","5","0","0","4","4","21","5.3","0","1","5","4.6","0.9","0.2%"
"141","Austin Walter (LV)","1","3","3.0","3","0","0","1","1","27","27.0","0","0","4","4.0","1.0","0.0%"
"142","Andy Janovich (FA)","2","4","2.0","2","0","0","2","5","13","6.5","0","0","14","3.7","0.3","0.0%"
"143","Rashaad Penny (PHI)","11","34","3.1","7","0","0","0","0","0","0","0","0","3","3.4","1.1","85.9%"
"144","Bo Scarbrough (FA)","6","31","5.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"145","Chandler Cox (FA)","0","0","0","0","0","0","2","2","9","4.5","0","0","8","2.9","0.4","0.0%"
"146","Jason Huntley (PIT)","5","19","3.8","10","0","0","1","2","0","0.0","0","0","5","2.9","0.6","0.1%"
"147","Lamar Miller (FA)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","2.6","2.6","0.0%"
"148","LeVante Bellamy (FA)","4","11","2.8","8","0","0","1","1","5","5.0","0","0","5","2.6","0.5","0.0%"
"149","Scottie Phillips (FA)","2","9","4.5","5","0","0","1","1","7","7.0","0","0","8","2.6","0.3","0.0%"
"150","Rico Dowdle (DAL)","7","24","3.4","7","0","0","0","0","0","0","0","0","15","2.4","0.2","0.0%"
"151","D.J. Foster (FA)","2","2","1.0","2","0","0","1","1","7","7.0","0","0","10","1.9","0.2","0.0%"
"152","Craig Reynolds (DET)","1","4","4.0","4","0","0","1","1","3","3.0","0","0","2","1.7","0.9","0.3%"
"153","Cullen Gillaspia (FA)","0","0","0","0","0","0","1","1","6","6.0","0","0","7","1.6","0.2","0.0%"
"154","Dwayne Washington (FA)","8","15","1.9","5","0","0","0","0","0","0","0","0","11","1.5","0.1","0.0%"
"155","Tony Jones Jr. (DEN)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","0.4%"
"156","Senorise Perry (FA)","2","9","4.5","6","0","0","0","0","0","0","0","0","7","0.9","0.1","0.0%"
"157","Dexter Williams (FA)","2","8","4.0","5","0","0","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"158","Tony Brooks-James (FA)","3","4","1.3","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"159","Qadree Ollison (JAC)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"160","Adrian Killins Jr. (FA)","1","-12","-12.0","0","0","0","1","1","2","2.0","0","0","1","0.0","0.0","0.0%"
"161","Xavier Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"162","Darius Bradwell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"163","Javon Leake (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"164","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Raymond Calais (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"166","Sewo Olonilua (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
