"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"16","Derrick Henry (TEN)","215","1,052","4.9","99","11","12","15","18","99","6.6","0","1","16","200.6","12.5","99.9%"
"17","Nick Chubb (CLE)","192","996","5.2","92","21","8","20","29","149","7.5","2","0","16","194.5","12.2","99.9%"
"18","Tevin Coleman (FA)","167","800","4.8","65","15","4","32","44","276","8.6","5","0","16","193.6","12.1","0.0%"
"19","Adrian Peterson (FA)","251","1,042","4.2","90","13","7","20","26","208","10.4","1","2","16","189.0","11.8","2.1%"
"20","Jordan Howard (FA)","250","935","3.7","42","7","9","20","27","145","7.3","0","1","16","180.0","11.3","0.0%"
"21","Marlon Mack (FA)","195","908","4.7","49","9","9","17","26","103","6.1","1","2","12","178.1","14.8","6.0%"
"22","T.J. Yeldon (FA)","104","414","4.0","20","1","1","55","78","487","8.9","4","1","14","173.1","12.4","0.0%"
"23","Lamar Miller (FA)","210","973","4.6","97","14","5","25","35","163","6.5","1","1","14","172.6","12.3","0.0%"
"24","Aaron Jones (GB)","133","728","5.5","67","9","8","26","35","206","7.9","1","1","12","171.4","14.3","98.5%"
"25","Austin Ekeler (LAC)","106","554","5.2","41","7","3","39","53","404","10.4","3","1","14","168.8","12.1","100.0%"
"26","Matt Breida (NYG)","153","814","5.3","66","14","3","27","31","261","9.7","2","1","14","162.5","11.6","0.9%"
"27","Nyheim Hines (BUF)","85","314","3.7","18","0","2","63","81","425","6.7","2","0","16","160.9","10.1","1.9%"
"28","Dion Lewis (FA)","155","517","3.3","36","3","1","59","67","400","6.8","1","1","16","160.7","10.0","2.0%"
"29","Jalen Richard (FA)","55","259","4.7","30","4","1","68","81","607","8.9","0","2","16","156.6","9.8","1.0%"
"30","Dalvin Cook (FA)","133","615","4.6","70","8","2","40","49","305","7.6","2","2","11","152.0","13.8","94.0%"
"31","Peyton Barber (FA)","234","871","3.7","28","4","5","20","29","92","4.6","1","1","16","150.3","9.4","1.0%"
"32","Mark Ingram II (FA)","138","645","4.7","38","5","6","21","27","170","8.1","1","1","12","142.5","11.9","0.1%"
"33","Isaiah Crowell (FA)","143","685","4.8","77","16","6","21","28","152","7.2","0","0","13","140.7","10.8","0.1%"
"34","Kerryon Johnson (FA)","118","641","5.4","71","10","3","32","39","213","6.7","1","1","10","139.4","13.9","0.0%"
"35","Sony Michel (FA)","209","931","4.5","34","7","6","7","11","50","7.1","0","1","13","139.1","10.7","0.1%"
"36","Mike Davis (FA)","112","514","4.6","37","3","4","34","42","214","6.3","1","0","15","136.8","9.1","1.0%"
"37","Duke Johnson Jr. (FA)","40","201","5.0","23","1","0","47","62","429","9.1","3","0","16","132.0","8.3","0.0%"
"38","Latavius Murray (BUF)","140","578","4.1","38","8","6","22","26","141","6.4","0","0","16","131.9","8.2","1.8%"
"39","LeSean McCoy (FA)","161","514","3.2","28","3","3","34","46","238","7.0","0","0","14","127.2","9.1","2.0%"
"40","Leonard Fournette (FA)","133","439","3.3","25","2","5","22","26","185","8.4","1","0","8","120.4","15.1","17.1%"
"41","Doug Martin (FA)","172","723","4.2","29","2","4","18","24","116","6.4","0","3","16","119.9","7.5","0.0%"
"42","Wendell Smallwood (FA)","87","364","4.2","15","0","3","28","35","230","8.2","2","1","16","117.4","7.3","0.0%"
"43","Theo Riddick (FA)","40","171","4.3","19","0","0","61","74","384","6.3","0","0","14","116.5","8.3","0.0%"
"44","Jamaal Williams (NO)","121","463","3.8","20","1","3","27","41","210","7.8","0","0","16","114.3","7.1","88.8%"
"45","Alex Collins (FA)","114","411","3.6","19","0","7","15","21","105","7.0","1","3","10","108.6","10.9","19.0%"
"46","Frank Gore (FA)","156","722","4.6","39","8","0","12","16","124","10.3","1","0","14","102.6","7.3","12.1%"
"47","Royce Freeman (LAR)","130","521","4.0","24","2","5","14","20","72","5.1","0","1","14","101.3","7.2","1.0%"
"48","Damien Williams (FA)","50","256","5.1","25","3","4","23","24","160","7.0","2","1","16","98.6","6.2","0.0%"
"49","Carlos Hyde (FA)","172","571","3.3","22","1","5","10","16","33","3.3","0","1","14","98.4","7.0","0.0%"
"50","Ito Smith (FA)","90","315","3.5","18","0","4","27","32","152","5.6","0","0","14","97.7","7.0","0.0%"
"51","Alfred Blue (FA)","150","499","3.3","17","0","2","20","27","154","7.7","0","0","16","97.3","6.1","0.0%"
"52","Giovani Bernard (FA)","56","211","3.8","23","2","3","35","48","218","6.2","0","0","12","95.9","8.0","0.0%"
"53","Javorius Allen (FA)","41","110","2.7","17","0","3","35","43","196","5.6","2","1","14","93.6","6.7","0.1%"
"54","Chris Thompson (FA)","43","178","4.1","16","0","0","41","55","268","6.5","1","0","10","91.6","9.2","0.0%"
"55","Gus Edwards (BAL)","137","718","5.2","43","6","2","2","2","20","10.0","0","0","11","89.8","8.2","10.9%"
"56","Jaylen Samuels (FA)","56","256","4.6","25","1","0","26","29","199","7.7","3","0","14","89.5","6.4","0.0%"
"57","Devontae Booker (FA)","34","183","5.4","26","1","1","38","51","275","7.2","0","1","16","87.8","5.5","0.0%"
"58","LeGarrette Blount (FA)","154","418","2.7","27","2","5","10","15","67","6.7","0","1","16","86.5","5.4","0.1%"
"59","Elijah McGuire (FA)","92","276","3.0","34","2","3","19","31","193","10.2","1","2","8","85.9","10.7","0.0%"
"60","Jacquizz Rodgers (FA)","33","106","3.2","20","1","1","38","45","304","8.0","0","1","16","83.0","5.2","0.0%"
"61","Josh Adams (FA)","120","511","4.3","29","4","3","7","13","58","8.3","0","1","16","81.9","5.1","0.0%"
"62","Corey Clement (ARI)","68","259","3.8","32","3","2","22","25","192","8.7","0","0","11","81.1","7.4","0.2%"
"63","Marshawn Lynch (FA)","90","376","4.2","52","4","3","15","20","84","5.6","0","0","6","79.0","13.2","0.3%"
"64","Spencer Ware (FA)","51","246","4.8","34","3","2","20","23","224","11.2","0","0","13","79.0","6.1","0.0%"
"65","Chris Ivory (FA)","115","385","3.3","21","2","1","13","21","205","15.8","0","0","13","78.0","6.0","0.0%"
"66","Ty Montgomery (NE)","41","188","4.6","16","0","1","25","40","235","9.4","0","1","13","71.3","5.5","0.7%"
"67","Rashaad Penny (PHI)","85","419","4.9","38","6","2","9","12","75","8.3","0","0","14","70.4","5.0","85.9%"
"68","Alfred Morris (FA)","111","428","3.9","51","6","2","8","13","73","9.1","0","1","12","68.1","5.7","0.0%"
"69","Kyle Juszczyk (SF)","8","30","3.8","12","0","0","30","41","324","10.8","1","2","16","67.4","4.2","0.4%"
"70","C.J. Anderson (FA)","67","403","6.0","46","5","2","5","9","41","8.2","1","0","11","67.4","6.1","1.0%"
"71","Chase Edmonds (TB)","60","208","3.5","29","2","2","20","23","103","5.2","0","0","16","63.1","3.9","2.2%"
"72","Kapri Bibbs (FA)","21","103","4.9","15","0","3","16","23","115","7.2","1","0","12","61.8","5.2","0.1%"
"73","Justin Jackson (FA)","50","206","4.1","20","1","2","15","19","135","9.0","0","0","13","61.1","4.7","0.1%"
"74","Darren Sproles (FA)","29","120","4.1","17","0","1","15","23","160","10.7","2","0","6","61.0","10.2","0.1%"
"75","Bilal Powell (FA)","80","343","4.3","38","3","0","11","18","110","10.0","1","1","7","60.3","8.6","0.0%"
"76","Jordan Wilkins (FA)","60","336","5.6","53","4","1","16","17","85","5.3","0","2","16","60.1","3.8","0.0%"
"77","Zach Zenner (FA)","55","265","4.8","29","1","3","7","10","56","8.0","0","0","8","57.1","7.1","0.0%"
"78","Kenneth Dixon (FA)","60","333","5.6","37","3","2","6","7","51","8.5","0","1","6","54.4","9.1","0.1%"
"79","Rex Burkhead (FA)","57","186","3.3","12","0","0","14","20","131","9.4","1","1","8","49.7","6.2","5.1%"
"80","Trenton Cannon (FA)","38","113","3.0","21","1","1","17","25","144","8.5","0","0","16","48.7","3.0","0.0%"
"81","Wayne Gallman Jr. (FA)","51","176","3.5","9","0","1","14","22","89","6.4","0","1","15","44.5","3.0","0.0%"
"82","Jeff Wilson Jr. (MIA)","66","266","4.0","18","0","0","12","15","98","8.2","0","2","6","44.4","7.4","64.3%"
"83","Jay Ajayi (FA)","45","184","4.1","20","1","3","5","6","20","4.0","0","1","4","43.4","10.9","7.0%"
"84","James Develin (FA)","6","8","1.3","2","0","4","12","18","61","5.1","0","0","16","42.9","2.7","0.0%"
"85","Malcolm Brown (FA)","43","212","4.9","19","0","0","5","7","52","10.4","1","0","12","39.4","3.3","0.0%"
"86","Raheem Mostert (MIA)","34","261","7.7","52","5","1","6","7","25","4.2","0","1","9","38.6","4.3","61.7%"
"87","Marcus Murphy (FA)","52","250","4.8","30","2","0","11","19","26","2.4","0","0","11","38.6","3.5","0.0%"
"88","Kalen Ballage (FA)","36","191","5.3","75","4","1","9","11","56","6.2","0","1","12","37.7","3.1","0.0%"
"89","Rod Smith (FA)","44","127","2.9","14","0","1","9","12","60","6.7","0","0","16","33.7","2.1","0.0%"
"90","Brandon Bolden (LV)","8","91","11.4","54","4","2","3","3","13","4.3","1","1","16","29.4","1.8","0.2%"
"91","Andy Janovich (FA)","2","5","2.5","3","0","0","8","10","112","14.0","1","0","16","25.7","1.6","0.0%"
"92","Anthony Sherman (FA)","1","2","2.0","2","0","0","8","9","96","12.0","1","0","16","23.8","1.5","0.0%"
"93","Taquan Mizzell (NYG)","9","16","1.8","7","0","0","8","10","78","9.8","1","0","9","23.4","2.6","0.0%"
"94","Zach Line (FA)","9","41","4.6","9","0","0","5","10","14","2.8","2","0","16","22.5","1.4","0.0%"
"95","Ronald Jones II (DAL)","23","44","1.9","9","0","1","7","9","33","4.7","0","0","9","20.7","2.3","1.8%"
"96","C.J. Ham (MIN)","6","8","1.3","5","0","0","11","15","85","7.7","0","0","15","20.3","1.4","0.1%"
"97","Corey Grant (FA)","13","40","3.1","8","0","0","9","12","67","7.4","0","0","5","19.7","3.9","0.0%"
"98","Dontrell Hilliard (FA)","0","0","0","0","0","0","9","10","105","11.7","0","0","11","17.5","1.6","0.1%"
"99","Cameron Artis-Payne (FA)","19","69","3.6","15","0","1","3","4","15","5.0","0","0","9","17.4","1.9","0.0%"
"100","Darrel Williams (FA)","13","44","3.4","8","0","0","3","3","27","9.0","1","0","6","16.1","2.7","2.0%"
"101","Brian Hill (FA)","20","157","7.9","60","6","0","1","2","9","9.0","0","1","10","15.6","1.6","0.0%"
"102","Elijhaa Penny (FA)","7","25","3.6","8","0","0","8","9","50","6.3","0","0","14","15.5","1.1","0.0%"
"103","Dwayne Washington (FA)","27","154","5.7","28","3","0","0","0","0","0","0","0","13","15.4","1.2","0.0%"
"104","Alex Armah Jr. (WAS)","9","15","1.7","4","0","2","1","1","5","5.0","0","0","16","15.0","0.9","0.0%"
"105","Stevan Ridley (FA)","29","80","2.8","12","0","1","3","4","18","6.0","0","2","10","14.8","1.5","0.0%"
"106","Devonta Freeman (FA)","14","68","4.9","20","2","0","5","7","23","4.6","0","0","2","14.1","7.1","0.0%"
"107","Keith Ford (FA)","21","79","3.8","11","0","0","3","5","21","7.0","0","0","2","13.0","6.5","0.1%"
"108","Mark Walton (FA)","14","34","2.4","10","0","0","5","8","41","8.2","0","0","14","12.5","0.9","2.0%"
"109","John Kelly Jr. (CLE)","27","74","2.7","7","0","0","2","3","27","13.5","0","0","4","12.1","3.0","0.2%"
"110","Charcandrick West (FA)","2","-1","-0.5","1","0","0","2","3","37","18.5","1","0","3","11.6","3.9","0.0%"
"111","DeAndre Washington (FA)","30","115","3.8","13","0","0","1","1","9","9.0","0","1","10","11.4","1.1","11.0%"
"112","T.J. Logan (FA)","2","2","1.0","5","0","0","7","7","37","5.3","0","0","10","10.9","1.1","0.0%"
"113","D'Onta Foreman (CHI)","7","-1","-0.1","2","0","0","2","2","28","14.0","1","0","1","10.7","10.7","37.3%"
"114","Patrick DiMarco (FA)","1","9","9.0","9","0","0","3","4","62","20.7","0","0","16","10.1","0.6","0.0%"
"115","Tommy Bohanon (FA)","1","0","0.0","0","0","0","6","9","41","6.8","0","0","16","10.1","0.6","0.0%"
"116","Detrez Newsome (FA)","11","49","4.5","16","0","0","2","2","19","9.5","0","0","9","8.8","1.0","0.0%"
"117","Kenjon Barner (FA)","19","71","3.7","11","0","0","1","1","3","3.0","0","0","9","8.4","0.9","0.0%"
"118","Roosevelt Nix (FA)","1","4","4.0","4","0","0","4","6","38","9.5","0","0","16","8.2","0.5","0.0%"
"119","Byron Marshall (FA)","3","9","3.0","4","0","0","4","6","30","7.5","0","0","6","7.9","1.3","0.1%"
"120","Keith Smith (ATL)","1","0","0.0","0","0","0","5","7","23","4.6","0","0","16","7.3","0.5","0.1%"
"121","Roc Thomas (FA)","8","30","3.8","23","1","0","2","4","21","10.5","0","0","5","7.1","1.4","0.0%"
"122","Ryan Hewitt (FA)","0","0","0","0","0","0","1","2","1","1.0","1","0","12","7.1","0.6","0.0%"
"123","Mike Boone (HOU)","11","47","4.3","20","1","0","2","3","1","0.5","0","0","8","6.8","0.9","0.2%"
"124","Samaje Perine (DEN)","8","32","4.0","11","0","0","3","4","5","1.7","0","0","5","6.7","1.3","83.7%"
"125","Tyler Ervin (FA)","0","0","0","0","0","0","3","4","35","11.7","0","0","9","6.5","0.7","0.0%"
"126","Shaun Wilson (FA)","6","29","4.8","9","0","0","3","5","5","1.7","0","0","5","6.4","1.3","0.0%"
"127","Tre Madden (FA)","3","3","1.0","2","0","0","2","3","35","17.5","0","0","14","5.8","0.4","0.1%"
"128","C.J. Prosise (FA)","1","-3","-3.0","0","0","0","3","3","22","7.3","0","0","5","4.9","1.0","0.0%"
"129","Mike Gillislee (FA)","16","43","2.7","5","0","0","1","1","9","9.0","0","1","4","4.2","1.1","0.0%"
"130","Jeremy Hill (FA)","4","25","6.3","11","0","0","1","1","6","6.0","0","0","1","4.1","4.1","0.0%"
"131","De'Lance Turner (FA)","1","4","4.0","4","0","0","2","2","17","8.5","0","0","4","4.1","1.0","0.1%"
"132","Ricky Ortiz (FA)","0","0","0","0","0","0","3","4","11","3.7","0","0","12","4.1","0.3","0.0%"
"133","Derrick Coleman (FA)","2","3","1.5","2","0","0","2","3","17","8.5","0","0","16","4.0","0.3","0.1%"
"134","Benny Cunningham Jr. (FA)","11","20","1.8","6","0","0","1","2","9","9.0","0","0","15","3.9","0.3","0.0%"
"135","Ameer Abdullah (LV)","1","1","1.0","1","0","0","3","4","28","9.3","0","1","10","3.9","0.4","0.5%"
"136","David Williams (FA)","8","36","4.5","15","0","0","0","0","0","0","0","0","6","3.6","0.6","0.0%"
"137","Jamaal Charles (FA)","6","7","1.2","5","0","0","2","3","7","3.5","0","0","2","3.4","1.7","0.1%"
"138","Jamize Olawale (FA)","0","0","0","0","0","0","2","4","13","6.5","0","0","16","3.3","0.2","0.0%"
"139","Travaris Cadet (FA)","11","17","1.5","5","0","0","1","1","5","5.0","0","0","1","3.2","3.2","0.0%"
"140","Jeremy Langford (FA)","9","25","2.8","7","0","0","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"141","Derek Watt (FA)","4","11","2.8","8","0","0","1","1","2","2.0","0","0","16","2.3","0.1","0.1%"
"142","Justin Davis (FA)","2","19","9.5","19","0","0","0","0","0","0","0","0","11","1.9","0.2","0.0%"
"143","Jonathan Stewart (FA)","6","17","2.8","5","0","0","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"144","David Fluellen (FA)","4","16","4.0","13","0","0","0","0","0","0","0","0","7","1.6","0.2","0.0%"
"145","Darius Jackson (FA)","6","16","2.7","4","0","0","0","1","0","0","0","0","4","1.6","0.4","0.0%"
"146","Michael Burton (DEN)","0","0","0","0","0","0","1","1","6","6.0","0","0","8","1.6","0.2","0.0%"
"147","Brandon Wilds (FA)","6","15","2.5","5","0","0","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"148","Danny Vitale (FA)","0","0","0","0","0","0","1","2","2","2.0","0","0","5","1.2","0.2","0.0%"
"149","Jonathan Williams (WAS)","3","0","0.0","1","0","0","1","1","1","1.0","0","0","3","1.1","0.4","0.2%"
"150","Christine Michael (FA)","2","9","4.5","8","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"151","J.D. McKissic (FA)","3","8","2.7","6","0","0","0","1","0","0","0","0","5","0.8","0.2","0.1%"
"152","Robert Kelley (FA)","4","8","2.0","6","0","0","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"153","Jeremy McNichols (FA)","2","4","2.0","7","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"154","Robert Turbin (FA)","4","10","2.5","5","0","0","1","2","3","3.0","0","1","2","0.3","0.2","0.0%"
"155","Nick Bellore (SEA)","1","0","0.0","0","0","0","4","4","15","3.8","0","0","14","0.0","0.0","35.0%"
"156","Taiwan Jones (FA)","0","0","0","0","0","0","0","2","0","0","0","0","6","0.0","0.0","0.0%"
"157","Cordarrelle Patterson (ATL)","42","228","5.4","27","2","1","21","28","247","11.8","3","1","15","0.0","0.0","17.0%"
"158","Patrick Ricard (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.1%"
"159","Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"160","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"161","Buddy Howell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"162","Boston Scott (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.8%"
"163","Jason Cabinda (DET)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"164","Godwin Igwebuike (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"165","Lavon Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"166","Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"167","Joe Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"168","Matt Dayes (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"169","Donnie Ernsberger (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"170","Dalyn Dawkins (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"171","Senorise Perry (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"172","Tra Carson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"173","Thomas Rawls (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"174","De'Angelo Henderson Sr. (FA)","2","19","9.5","13","0","0","0","0","0","0","0","1","3","-0.1","0.0","0.0%"
""
""
