"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (NYG)","261","1,307","5.0","78","37","11","91","121","721","7.9","4","0","16","385.8","24.1","99.9%"
"2","Christian McCaffrey (SF)","219","1,098","5.0","59","15","7","107","124","867","8.1","6","1","16","385.5","24.1","100.0%"
"3","Todd Gurley II (FA)","256","1,251","4.9","36","12","17","59","81","580","9.8","4","1","14","372.1","26.6","0.1%"
"4","Alvin Kamara (NO)","194","883","4.6","49","3","14","81","105","709","8.8","4","0","15","354.2","23.6","93.6%"
"5","Ezekiel Elliott (FA)","304","1,434","4.7","41","15","6","77","95","567","7.4","3","1","15","329.1","21.9","48.6%"
"6","James Conner (ARI)","215","970","4.5","30","11","12","55","71","497","9.0","1","2","13","279.7","21.5","94.3%"
"7","James White (FA)","94","425","4.5","27","5","5","87","123","751","8.6","7","0","16","276.6","17.3","0.1%"
"8","Melvin Gordon III (BAL)","175","885","5.1","34","11","10","50","66","490","9.8","4","0","12","275.5","23.0","1.9%"
"9","David Johnson (FA)","258","940","3.6","53","5","7","50","76","446","8.9","3","2","16","246.6","15.4","0.0%"
"10","Joe Mixon (CIN)","237","1,168","4.9","51","20","8","43","55","296","6.9","1","0","14","243.4","17.4","98.7%"
"11","Tarik Cohen (FA)","99","444","4.5","32","8","3","71","91","725","10.2","5","3","16","233.9","14.6","0.0%"
"12","Kareem Hunt (FA)","181","824","4.6","45","10","7","26","35","378","14.5","7","0","11","230.2","20.9","11.8%"
"13","Phillip Lindsay (FA)","192","1,037","5.4","65","17","9","35","47","241","6.9","1","0","15","222.8","14.9","0.0%"
"14","Kenyan Drake (FA)","120","535","4.5","54","7","4","53","73","477","9.0","5","1","16","206.2","12.9","0.6%"
"15","Chris Carson (FA)","247","1,151","4.7","61","11","9","20","24","163","8.2","0","2","14","201.4","14.4","0.3%"
