"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Michael Thomas (NO)","149","185","1,725","11.6","49","25","9","1","-9","0","0","16","374.6","23.4","86.0%"
"2","Chris Godwin (TB)","86","121","1,333","15.5","71","38","9","1","8","0","0","14","276.1","19.7","94.7%"
"3","Julio Jones (FA)","99","157","1,394","14.1","54","34","6","2","-3","0","0","15","274.1","18.3","7.2%"
"4","Cooper Kupp (LAR)","94","134","1,161","12.4","66","33","10","2","4","0","0","16","270.5","16.9","99.9%"
"5","DeAndre Hopkins (TEN)","104","150","1,165","11.2","43","24","7","2","18","0","0","15","269.5","18.0","97.1%"
"6","Keenan Allen (LAC)","104","149","1,199","11.5","45","21","6","3","16","0","0","16","261.5","16.3","97.6%"
"7","Julian Edelman (FA)","100","153","1,117","11.2","44","19","6","8","27","0","1","16","256.3","16.0","12.1%"
"8","Allen Robinson II (PIT)","98","154","1,147","11.7","49","22","7","1","2","0","0","16","254.9","15.9","4.0%"
"9","Kenny Golladay (FA)","65","116","1,190","18.3","75","43","11","0","0","0","1","16","248.0","15.5","2.1%"
"10","Amari Cooper (CLE)","79","119","1,189","15.1","53","31","8","1","6","0","0","16","246.5","15.4","97.5%"
"11","DeVante Parker (NE)","72","128","1,202","16.7","51","39","9","0","0","0","0","16","246.2","15.4","2.7%"
"12","Jarvis Landry (FA)","83","138","1,174","14.1","65","30","6","1","10","0","0","16","237.4","14.8","7.1%"
"13","Tyler Lockett (SEA)","82","110","1,057","12.9","44","25","8","4","-5","0","0","16","235.2","14.7","94.0%"
"14","Robert Woods (HOU)","90","139","1,134","12.6","48","20","2","17","115","1","0","15","232.9","15.5","4.5%"
"15","Mike Evans (TB)","67","118","1,157","17.3","67","34","8","0","0","0","0","13","232.7","17.9","93.9%"
"16","DJ Moore (CHI)","87","135","1,175","13.5","52","29","4","6","40","0","1","15","230.5","15.4","95.5%"
"17","DJ Chark Jr. (CAR)","73","118","1,008","13.8","69","29","8","2","20","0","0","15","225.8","15.1","54.8%"
"18","Tyler Boyd (CIN)","90","148","1,046","11.6","47","19","5","4","23","0","2","16","222.9","13.9","48.6%"
"19","Courtland Sutton (DEN)","72","124","1,112","15.4","70","36","6","3","17","0","0","16","222.4","13.9","74.3%"
"20","John Brown (FA)","72","115","1,060","14.7","53","26","6","2","7","0","0","15","219.8","14.7","0.0%"
"21","A.J. Brown (PHI)","52","84","1,051","20.2","91","40","8","3","60","1","0","16","217.1","13.6","99.9%"
"22","Michael Gallup (DAL)","66","113","1,107","16.8","62","32","6","0","0","0","0","14","212.7","15.2","51.1%"
"23","Davante Adams (LV)","83","127","997","12.0","58","22","5","0","0","0","1","12","212.7","17.7","99.9%"
"24","Stefon Diggs (BUF)","63","94","1,130","17.9","66","45","6","5","61","0","3","15","212.1","14.1","99.9%"
"25","Odell Beckham Jr. (BAL)","74","133","1,035","14.0","89","28","4","3","10","0","1","16","201.3","12.6","85.5%"
"26","Jamison Crowder (NYG)","78","122","833","10.7","41","15","6","1","4","0","0","16","197.7","12.4","0.2%"
"27","Calvin Ridley (JAC)","63","93","866","13.7","36","16","7","2","34","0","0","13","197.0","15.2","94.8%"
"28","Marvin Jones Jr. (DET)","62","91","779","12.6","47","15","9","2","0","0","0","13","193.9","14.9","2.9%"
"29","Terry McLaurin (WAS)","58","93","919","15.8","75","26","7","0","0","0","0","14","191.9","13.7","95.9%"
"30","Emmanuel Sanders (FA)","66","97","869","13.2","75","22","5","0","0","0","0","17","190.3","11.2","0.0%"
"31","Deebo Samuel (SF)","57","81","802","14.1","42","24","3","14","159","3","1","15","189.1","12.6","98.7%"
"32","Tyreek Hill (MIA)","58","89","860","14.8","57","26","7","8","23","0","0","12","188.3","15.7","100.0%"
"33","DK Metcalf (SEA)","58","100","900","15.5","54","26","7","2","11","0","3","16","187.1","11.7","99.3%"
"34","Cole Beasley (NYG)","67","106","778","11.6","51","14","6","0","0","0","0","15","184.8","12.3","0.1%"
"35","Larry Fitzgerald (FA)","75","109","804","10.7","54","19","4","0","0","0","1","16","177.4","11.1","0.2%"
"36","Curtis Samuel (WAS)","54","105","627","11.6","44","13","6","19","130","1","0","16","171.7","10.7","9.4%"
"37","Darius Slayton (NYG)","48","84","740","15.4","55","23","8","0","0","0","0","14","170.0","12.1","2.5%"
"38","Christian Kirk (JAC)","68","108","709","10.4","69","12","3","10","93","0","0","13","168.2","12.9","91.0%"
"39","Diontae Johnson (PIT)","59","92","680","11.5","45","13","5","4","41","0","2","16","163.1","10.2","92.4%"
"40","Robbie Chosen (MIA)","52","96","779","15.0","92","22","5","1","4","0","0","16","162.3","10.1","0.7%"
"41","Mike Williams (LAC)","49","90","1,001","20.4","56","38","2","1","2","0","0","15","161.3","10.8","92.3%"
"42","Dede Westbrook (FA)","66","101","660","10.0","39","14","3","5","27","0","0","15","156.7","10.4","0.0%"
"43","Chris Conley (SF)","47","90","775","16.5","70","21","5","0","0","0","0","16","156.5","9.8","0.1%"
"44","Randall Cobb (NYJ)","55","83","828","15.1","59","24","3","3","11","0","1","15","154.9","10.3","0.7%"
"45","Golden Tate (FA)","49","85","676","13.8","64","21","6","1","16","0","1","11","152.2","13.8","0.0%"
