"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"46","Marquise Brown (ARI)","46","71","584","12.7","83","18","7","0","0","0","0","14","146.4","10.5","90.2%"
"47","Tyrell Williams (FA)","42","64","651","15.5","46","20","6","0","0","0","0","14","143.1","10.2","0.0%"
"48","Sterling Shepard (NYG)","57","83","576","10.1","36","9","3","6","72","0","0","10","141.8","14.2","1.0%"
"49","Danny Amendola (FA)","62","97","678","10.9","47","11","1","0","0","0","0","15","140.6","9.4","0.0%"
"50","Sammy Watkins (FA)","52","90","673","12.9","68","16","3","2","12","0","1","14","138.5","9.9","1.6%"
"51","Breshad Perriman (IND)","36","69","645","17.9","44","23","6","2","16","0","0","14","138.1","9.9","0.0%"
"52","Zach Pascal (ARI)","41","72","607","14.8","37","14","5","2","16","0","0","16","135.3","8.5","0.1%"
"53","William Fuller V (FA)","49","71","670","13.7","54","25","3","0","0","0","0","11","134.0","12.2","0.1%"
"54","James Washington (NO)","44","80","735","16.7","79","27","3","0","0","0","1","15","133.5","8.9","0.1%"
"55","Hunter Renfrow (LV)","49","71","605","12.3","65","14","4","0","0","0","0","13","133.5","10.3","9.9%"
"56","Anthony Miller (FA)","52","85","656","12.6","35","16","2","1","-1","0","1","16","127.5","8.0","0.0%"
"57","T.Y. Hilton (FA)","45","68","501","11.1","35","8","5","0","0","0","0","10","125.1","12.5","3.0%"
"58","Mohamed Sanu Sr. (FA)","59","89","520","8.8","28","3","2","3","11","0","0","15","124.1","8.3","0.0%"
"59","Alshon Jeffery (FA)","43","73","490","11.4","38","8","4","1","2","1","0","10","122.2","12.2","0.0%"
"60","Kenny Stills (FA)","40","55","561","14.0","45","18","4","0","0","0","0","13","120.1","9.2","0.0%"
"61","Mecole Hardman Jr. (NYJ)","26","41","538","20.7","83","22","6","4","17","0","2","16","119.5","7.5","7.9%"
"62","Brandin Cooks (DAL)","42","72","583","13.9","57","12","2","6","52","0","0","14","117.5","8.4","87.5%"
"63","Corey Davis (NYJ)","43","69","601","14.0","38","11","2","0","0","0","0","15","115.1","7.7","2.0%"
"64","Adam Thielen (CAR)","30","48","418","13.9","44","12","6","4","6","1","0","10","114.4","11.4","62.6%"
"65","JuJu Smith-Schuster (NE)","42","70","552","13.1","76","14","3","0","0","0","1","12","113.2","9.4","75.5%"
"66","Steven Sims Jr. (HOU)","34","56","310","9.1","65","6","4","9","85","1","0","16","109.5","6.8","0.1%"
"67","Allen Lazard (NYJ)","35","52","477","13.6","43","10","3","1","21","0","0","16","102.8","6.4","66.7%"
"68","Auden Tate (FA)","40","80","575","14.4","33","10","1","0","0","0","1","13","101.5","7.8","0.0%"
"69","Demarcus Robinson (LAR)","32","55","449","14.0","44","12","4","0","0","0","0","16","100.9","6.3","0.2%"
"70","Phillip Dorsett II (LV)","29","54","397","13.7","58","13","5","3","21","0","0","14","100.8","7.2","0.1%"
"71","Russell Gage (TB)","49","74","446","9.1","19","0","1","4","12","0","1","16","98.8","6.2","1.4%"
"72","Kendrick Bourne (NE)","30","44","358","11.9","30","5","5","0","0","0","0","16","97.8","6.1","0.8%"
"73","Alex Erickson (NYJ)","43","78","529","12.3","52","11","0","5","33","0","2","16","96.2","6.0","0.0%"
"74","Willie Snead IV (SF)","31","46","339","10.9","50","8","5","2","2","0","0","16","95.1","5.9","0.0%"
"75","John Ross (FA)","28","56","506","18.1","66","19","3","3","4","0","1","8","95.0","11.9","0.1%"
"76","Nelson Agholor (BAL)","39","69","363","9.3","43","7","3","2","7","0","1","11","94.0","8.5","0.7%"
"77","Preston Williams (FA)","32","60","428","13.4","35","7","3","0","0","0","1","8","90.8","11.4","0.0%"
"78","Taylor Gabriel (FA)","29","48","353","12.2","53","8","4","3","20","0","0","9","90.3","10.0","0.1%"
"79","Albert Wilson (FA)","43","62","351","8.2","35","5","1","5","45","0","0","13","89.4","6.9","0.0%"
"80","Adam Humphries (FA)","37","47","374","10.1","30","5","2","1","1","0","0","12","86.5","7.2","1.0%"
"81","Ted Ginn Jr. (FA)","30","56","421","14.0","45","13","2","3","18","0","0","16","85.9","5.4","0.0%"
"82","Demaryius Thomas (FA)","36","58","433","12.0","47","7","1","0","0","0","0","11","85.3","7.8","0.1%"
"83","Allen Hurns (FA)","32","47","416","13.0","27","4","2","0","0","0","1","14","83.6","6.0","0.0%"
"84","Marquez Valdes-Scantling (KC)","26","56","444","17.1","74","19","2","2","9","0","0","16","83.3","5.2","13.1%"
"85","Tajae Sharpe (FA)","25","35","329","13.2","47","7","4","0","0","0","0","15","81.9","5.5","0.0%"
"86","Bisi Johnson (FA)","31","45","294","9.5","23","1","3","1","6","0","0","16","79.0","4.9","0.0%"
"87","Keelan Cole Sr. (LV)","24","36","361","15.0","55","11","3","1","6","0","0","16","78.7","4.9","0.0%"
"88","Geronimo Allison (FA)","34","55","287","8.4","31","4","2","1","7","0","1","16","75.4","4.7","0.0%"
"89","Josh Gordon (FA)","27","47","426","15.8","58","14","1","1","1","0","0","11","74.7","6.8","0.0%"
"90","Damiere Byrd (CAR)","32","46","359","11.2","58","10","1","0","0","0","1","11","71.9","6.5","0.0%"
"91","Tre'Quan Smith (NO)","18","25","234","13.0","32","4","5","0","0","0","0","11","71.4","6.5","0.6%"
"92","Kelvin Harmon (FA)","30","44","365","12.2","30","9","0","0","0","0","0","16","66.9","4.2","0.0%"
"93","Cody Latimer (FA)","24","42","300","12.5","43","8","2","0","0","0","0","15","66.0","4.4","0.0%"
"94","Paul Richardson Jr. (FA)","28","42","245","8.8","22","1","2","1","0","0","0","10","64.5","6.5","0.0%"
"95","DaeSean Hamilton (FA)","28","52","297","10.6","28","4","1","0","0","0","0","16","63.7","4.0","0.0%"
"96","Isaiah McKenzie (IND)","27","39","254","9.4","46","5","1","8","49","0","0","15","63.3","4.2","1.3%"
"97","Josh Reynolds (DET)","21","43","326","15.5","31","10","1","5","23","0","0","16","61.9","3.9","0.8%"
"98","Jakobi Meyers (LV)","26","41","359","13.8","35","11","0","0","0","0","0","15","61.9","4.1","68.6%"
"99","Seth Roberts (FA)","21","35","271","12.9","33","4","2","0","0","0","0","16","60.1","3.8","0.0%"
"100","Greg Ward (PHI)","28","40","254","9.1","38","2","1","1","5","0","0","7","59.9","8.6","0.1%"
"101","David Moore (TB)","17","34","301","17.7","60","9","2","3","25","0","1","15","59.6","4.0","0.0%"
"102","Jarius Wright (FA)","28","58","296","10.6","33","4","0","1","-7","0","0","16","56.9","3.6","0.0%"
"103","Marcus Johnson (FA)","17","33","277","16.3","50","8","2","0","0","0","0","9","56.7","6.3","0.0%"
"104","Pharoh Cooper (FA)","25","33","243","9.7","28","4","1","1","2","0","0","13","55.5","4.3","0.0%"
"105","Keke Coutee (NO)","22","36","254","11.5","51","7","0","2","14","1","1","10","52.8","5.3","0.0%"
"106","Trey Quinn (DET)","26","47","198","7.6","19","0","1","0","0","0","1","12","51.8","4.3","0.0%"
"107","Miles Boykin (PIT)","13","22","198","15.2","50","6","3","0","0","0","0","16","50.8","3.2","0.1%"
"108","Zay Jones (JAC)","27","45","216","8.0","23","2","0","1","3","0","0","15","48.9","3.3","40.0%"
"109","Vyncint Smith (IND)","17","31","225","13.2","37","6","0","3","52","1","1","14","48.7","3.5","0.0%"
"110","Isaiah Ford (CHI)","23","35","244","10.6","28","2","0","1","11","0","0","9","48.5","5.4","0.0%"
"111","Jaron Brown (FA)","16","28","220","13.8","48","6","2","0","0","0","1","14","48.0","3.4","0.0%"
"112","Tavon Austin (FA)","13","24","177","13.6","59","5","1","6","47","1","0","14","47.4","3.4","0.0%"
"113","Bennie Fowler III (FA)","23","36","193","8.4","17","0","0","1","20","0","0","8","46.3","5.8","0.0%"
"114","KeeSean Johnson (BUF)","21","42","187","8.9","31","2","1","1","3","0","1","10","46.0","4.6","0.0%"
"115","Jakeem Grant Sr. (CLE)","19","33","164","8.6","18","0","0","4","5","1","1","10","45.9","4.6","0.1%"
"116","Chester Rogers (FA)","16","28","179","11.2","27","2","2","1","18","0","1","12","45.7","3.8","0.0%"
"117","Malik Turner (IND)","15","22","245","16.3","33","8","1","0","0","0","0","15","45.5","3.0","0.0%"
"118","Justin Watson (KC)","15","26","159","10.6","17","0","2","0","0","0","0","16","42.9","2.7","0.2%"
"119","Javon Wims (CAR)","18","39","186","10.3","37","2","1","0","0","0","0","16","42.6","2.7","0.0%"
"120","Scott Miller (ATL)","13","26","200","15.4","48","6","1","2","16","0","0","10","40.6","4.1","0.1%"
"121","Jake Kumerow (FA)","12","21","219","18.3","49","7","1","0","0","0","0","14","39.9","2.9","0.0%"
"122","Marvin Hall (FA)","7","11","261","37.3","58","15","1","1","7","0","0","9","39.8","4.4","0.0%"
"123","N'Keal Harry (FA)","12","24","105","8.8","18","0","2","5","49","0","0","7","39.4","5.6","0.0%"
"124","Justin Hardy (FA)","19","26","195","10.3","23","2","0","0","0","0","0","16","38.5","2.4","0.0%"
"125","Marquise Goodwin (CLE)","12","21","186","15.5","38","4","1","1","15","0","0","9","38.1","4.2","0.6%"
"126","Parris Campbell (NYG)","18","24","127","7.1","27","1","1","4","34","0","1","7","38.1","5.4","5.3%"
"127","Damion Ratley (FA)","12","24","200","16.7","46","6","1","0","0","0","0","13","38.0","2.9","0.0%"
"128","Tim Patrick (DEN)","16","31","218","13.6","38","5","0","0","0","0","0","8","37.8","4.7","3.7%"
"129","DeSean Jackson (FA)","9","10","159","17.7","53","8","2","0","0","0","0","3","36.9","12.3","1.0%"
"130","Andy Isabella (BUF)","9","13","189","21.0","88","8","1","4","15","0","0","15","35.4","2.4","0.0%"
"131","Byron Pringle (WAS)","12","16","170","14.2","28","3","1","0","0","0","0","16","35.0","2.2","0.0%"
"132","Duke Williams (FA)","12","19","166","13.8","41","5","1","0","0","0","0","4","34.6","8.7","0.0%"
"133","Dante Pettis (CHI)","11","24","109","9.9","21","2","2","0","0","0","0","11","34.5","3.1","0.1%"
"134","Laquon Treadwell (BAL)","9","16","184","20.4","58","7","1","0","0","0","0","14","33.4","2.4","0.1%"
"135","J.J. Arcega-Whiteside (ATL)","10","22","169","16.9","30","5","1","0","0","0","0","16","32.9","2.1","0.0%"
"136","Dontrelle Inman (FA)","12","21","181","15.1","28","4","0","0","0","0","0","7","30.1","4.3","0.0%"
"137","Kalif Raymond (DET)","9","12","170","18.9","52","8","1","1","-5","0","1","8","29.5","3.7","0.7%"
"138","Trevor Davis (FA)","8","11","111","13.9","28","2","0","4","73","1","2","14","28.4","2.0","0.0%"
"139","Richie James Jr. (KC)","6","10","165","27.5","57","9","1","2","-1","0","1","16","26.4","1.7","2.3%"
"140","DeAndre Carter (LV)","11","14","162","14.7","46","7","0","0","0","0","1","16","25.2","1.6","0.6%"
"141","Keelan Doss (LAC)","11","14","133","12.1","31","2","0","0","0","0","0","8","24.3","3.0","0.0%"
"142","Mack Hollins (ATL)","10","23","125","12.5","20","1","0","0","0","0","0","16","22.5","1.4","1.5%"
"143","Devin Smith (FA)","5","9","113","22.6","51","6","1","0","0","0","0","4","22.3","5.6","0.0%"
"144","Deon Cain (PHI)","9","20","124","13.8","35","4","0","0","0","0","0","13","21.4","1.6","0.0%"
"145","Olamide Zaccheaus (PHI)","3","5","115","38.3","93","4","1","0","0","0","0","10","20.5","2.1","0.6%"
"146","Christian Blake (FA)","11","24","91","8.3","13","0","0","0","0","0","0","9","20.1","2.2","0.0%"
"147","Brandon Zylstra (FA)","8","12","106","13.3","40","4","0","0","0","0","0","8","18.6","2.3","0.0%"
"148","Damion Willis (FA)","9","16","82","9.1","17","0","0","0","0","0","0","10","17.2","1.7","0.0%"
"149","Antonio Callaway (FA)","8","15","89","11.1","41","3","0","0","0","0","0","5","16.9","3.4","0.0%"
"150","Antonio Brown (FA)","4","8","56","14.0","20","1","1","1","5","0","0","1","16.1","16.1","0.2%"
"151","Deonte Harty (BUF)","6","6","24","4.0","13","0","0","4","31","0","1","14","15.5","1.1","0.2%"
"152","Braxton Berrios (MIA)","6","13","115","19.2","69","5","0","0","0","0","1","16","15.5","1.0","0.8%"
"153","Rashard Higgins (FA)","4","11","55","13.8","35","2","1","0","0","0","0","10","15.5","1.6","0.0%"
"154","Chris Hogan (FA)","8","15","67","8.4","13","0","0","0","0","0","0","7","14.7","2.1","0.0%"
"155","Marcell Ateman (BUF)","5","10","116","23.2","36","5","0","0","0","0","1","12","14.6","1.2","0.0%"
"156","J.J. Nelson (FA)","4","5","36","9.0","29","1","1","0","0","0","0","2","13.6","6.8","0.0%"
"157","Riley Ridley (FA)","6","7","69","11.5","32","2","0","0","0","0","0","5","12.9","2.6","0.0%"
"158","T.J. Jones (FA)","3","4","38","12.7","28","1","1","0","0","0","0","3","12.8","4.3","0.0%"
"159","Robert Foster (FA)","3","18","64","21.3","24","3","0","2","29","0","0","13","12.3","0.9","0.0%"
"160","Trent Sherfield (BUF)","4","13","80","20.0","38","3","0","0","0","0","0","16","12.0","0.8","0.2%"
"161","Jamal Agnew (JAC)","1","2","-2","-2.0","0","0","0","1","9","0","1","13","11.7","0.9","0.7%"
"162","Andre Patton (FA)","6","17","56","9.3","15","0","0","0","0","0","0","13","11.6","0.9","0.0%"
"163","KhaDarel Hodge (ATL)","4","10","76","19.0","41","3","0","0","0","0","0","16","11.6","0.7","0.1%"
"164","Ryan Switzer (FA)","8","11","27","3.4","8","0","0","0","0","0","0","9","10.7","1.2","0.0%"
"165","Tevin Jones (FA)","4","10","61","15.3","28","1","0","0","0","0","0","5","10.1","2.0","0.0%"
"166","Cedrick Wilson Jr. (MIA)","5","8","46","9.2","14","0","0","0","0","0","0","6","9.6","1.6","0.2%"
"167","DeAndrew White (FA)","4","9","51","12.8","18","0","0","0","0","0","0","10","9.1","0.9","0.0%"
"168","Chad Beebe (FA)","2","2","70","35.0","61","4","0","0","0","0","0","3","9.0","3.0","0.0%"
"169","Chris Lacy (LV)","3","10","60","20.0","48","3","0","0","0","0","0","7","9.0","1.3","0.0%"
"170","Travis Benjamin (FA)","6","16","30","5.0","13","0","0","0","0","0","0","5","9.0","1.8","0.0%"
"171","Ventell Bryant (FA)","1","1","15","15.0","15","0","1","0","0","0","0","12","8.5","0.7","0.0%"
"172","Diontae Spencer (FA)","6","8","31","5.2","20","1","0","3","6","0","1","16","7.7","0.5","0.0%"
"173","Jordan Matthews (FA)","4","12","33","8.3","10","0","0","0","0","0","0","3","7.3","2.4","0.0%"
"174","Geremy Davis (FA)","3","3","38","12.7","19","0","0","0","0","0","0","8","6.8","0.9","0.0%"
"175","Deontay Burnett (FA)","2","4","48","24.0","41","3","0","0","0","0","0","2","6.8","3.4","0.0%"
"176","Alexander Hollins (FA)","2","4","46","23.0","35","2","0","0","0","0","0","5","6.6","1.3","0.0%"
"177","Jason Moore Jr. (FA)","2","5","43","21.5","32","2","0","0","0","0","0","10","6.3","0.6","0.0%"
"178","Michael Crabtree (FA)","4","5","22","5.5","9","0","0","0","0","0","0","3","6.2","2.1","0.0%"
"179","Devin Funchess (FA)","3","5","32","10.7","16","0","0","0","0","0","0","1","6.2","6.2","0.0%"
"180","Johnny Holton (FA)","3","15","21","7.0","18","0","0","1","9","0","0","16","6.0","0.4","0.0%"
"181","Donte Moncrief (FA)","4","15","18","4.5","11","0","0","0","0","0","0","8","5.8","0.7","0.0%"
"182","Cody Core (FA)","3","5","28","9.3","11","0","0","0","0","0","0","16","5.8","0.4","0.0%"
"183","Andre Roberts (FA)","3","7","20","6.7","7","0","0","1","7","0","0","13","5.7","0.4","0.0%"
"184","Steven Mitchell Jr. (FA)","2","6","37","18.5","21","1","0","0","0","0","0","4","5.7","1.4","0.0%"
"185","Russell Shepard (FA)","3","8","25","8.3","12","0","0","0","0","0","0","3","5.5","1.8","0.0%"
"186","Ishmael Hyman (FA)","2","4","34","17.0","31","2","0","0","0","0","0","2","5.4","2.7","0.0%"
"187","Ryan Grant (FA)","4","9","14","3.5","9","0","0","0","0","0","0","2","5.4","2.7","0.0%"
"188","C.J. Board (FA)","2","4","31","15.5","23","1","0","0","0","0","0","4","5.1","1.3","0.0%"
"189","Chris Moore (TEN)","3","5","21","7.0","13","0","0","1","0","0","0","14","5.1","0.4","0.6%"
"190","Marqise Lee (FA)","3","4","18","6.0","8","0","0","1","1","0","0","6","4.9","0.8","0.0%"
"191","Stanley Morgan Jr. (CIN)","3","10","18","6.0","9","0","0","0","0","0","0","11","4.8","0.4","0.0%"
"192","Da'Mari Scott (FA)","2","3","22","11.0","11","0","0","1","5","0","0","5","4.7","0.9","0.0%"
"193","Cam Sims (LV)","2","3","27","13.5","15","0","0","0","0","0","0","8","4.7","0.6","0.0%"
"194","Bobo Wilson (FA)","3","11","35","11.7","14","0","0","0","0","0","1","6","4.5","0.8","0.1%"
"195","Fred Brown (FA)","2","3","21","10.5","16","0","0","0","0","0","0","13","4.1","0.3","0.0%"
"196","Josh Bellamy (FA)","2","3","20","10.0","15","0","0","0","0","0","0","7","4.0","0.6","0.0%"
"197","Robert Davis (FA)","2","5","17","8.5","11","0","0","0","0","0","0","6","3.7","0.6","0.0%"
"198","Darius Jennings (FA)","2","5","17","8.5","11","0","0","0","0","0","0","8","3.7","0.5","0.0%"
"199","Ashton Dulin (IND)","2","2","17","8.5","13","0","0","0","0","0","0","13","3.7","0.3","0.1%"
"200","Gunner Olszewski (PIT)","2","4","34","17.0","29","1","0","0","0","0","1","8","3.4","0.4","0.1%"
"201","Mike Thomas (FA)","2","5","14","7.0","9","0","0","0","0","0","0","16","3.4","0.2","0.0%"
"202","Cody Hollister (FA)","2","2","13","6.5","11","0","0","0","0","0","0","5","3.3","0.7","0.0%"
"203","Rashard Davis (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"204","Jeff Smith (NYG)","1","2","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"205","John Ursua (FA)","1","1","11","11.0","11","0","0","0","0","0","0","3","2.1","0.7","0.0%"
"206","De'Anthony Thomas (FA)","1","2","6","6.0","6","0","0","2","5","0","0","14","2.1","0.2","0.0%"
"207","Austin Carr (FA)","1","4","9","9.0","9","0","0","0","0","0","0","7","1.9","0.3","0.0%"
"208","Dwayne Harris (FA)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"209","Jaleel Scott (FA)","1","3","6","6.0","6","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"210","Krishawn Hogan (FA)","1","1","4","4.0","4","0","0","0","0","0","0","8","1.4","0.2","0.0%"
"211","Cyril Grayson Jr. (FA)","1","1","3","3.0","3","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"212","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"213","Spencer Schnell (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Jalen Guyton (LAC)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"215","Lil'Jordan Humphrey (DEN)","0","1","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"216","Gary Jennings Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Davion Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"218","Travis Fulgham (FA)","0","3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"219","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"220","Juwann Winfree (IND)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"221","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"222","Deonte Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Rod Streater (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"224","Andre Holmes (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Terrance Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Justin Hunter (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Markus Wheaton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Doug Baldwin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Kamar Aiken (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Jeremy Ross (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Brian Quick (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Martavis Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","Kelvin Benjamin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"234","Jordy Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"235","James Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.1%"
"237","Brandon Tate (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Brandon Marshall (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.6%"
"239","Darrius Heyward-Bey (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"240","Jeremy Kerley (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"241","Torrey Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","A.J. Green (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"243","Pierre Garcon (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"244","Mike Wallace (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"245","Brandon LaFell (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"246","Riley McCarron (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"247","Justin Hardee (NYJ)","0","1","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
