Player,Team,REC,YDS,TD,ATT,YDS,TDS,FL
Russell Gage,TB,53.9,542.4,2.7,0.4,1.5,0,0.6
Corey Davis,NYJ,36.8,542.5,2.6,0,0.5,0,0.1
Chase Claypool,CHI,33.3,492.6,2.5,6,40.7,0.2,0.5
Mack Hollins,ATL,43.3,490.6,2.8,0.7,16,0.1,0.2
Rashee Rice,KC,34,497.8,2.8,1.5,9.6,0,0.5
Allen Robinson II,PIT,41,524.1,2.4,0.1,0.4,0,0
Greg Dortch,ARI,55.1,504.6,2,6.4,51.8,0.1,0.6
Marvin Jones Jr.,DET,36.5,481.5,3,0.1,0.6,0,0
Khalil Shakir,BUF,36.6,515.2,2.3,1.2,7,0.1,0.1
Wan'Dale Robinson,NYG,37.4,473.6,2,2.5,10.5,0.1,0.5
Isaiah McKenzie,IND,38.9,405.9,2,7.8,49.5,0.3,0
Jalin Hyatt,NYG,33.7,455.3,2.2,1.4,10.2,0.1,0.5
Josh Reynolds,DET,32.6,454,2.2,0.4,0.6,0,0.2
Joshua Palmer,LAC,36.8,458.8,2,0.6,2.3,0,0.3
Parris Campbell,NYG,31.7,406.3,2,3.2,36.8,0.1,0.2
Nick Westbrook-Ikhine,TEN,29.1,400.6,2.5,0,0.4,0,0.2
Ben Skowronek,LAR,39.8,390.3,1.7,0.5,5.7,0.4,0
Terrace Marshall Jr.,CAR,24.2,427.6,1.5,0,0.2,0,0
Kendrick Bourne,NE,25,381.3,1.6,3.7,26.9,0.1,0.1
Marvin Mims Jr.,DEN,25.6,397.7,1.4,1,6.4,0.1,0.3
Richie James Jr.,KC,28,361.6,2.3,0.6,1.7,0,1.2
Tutu Atwell,LAR,24.1,339.2,1.3,7,34.7,0.5,0.4
Sterling Shepard,NYG,28.9,354.5,1.7,2,12.8,0.1,0.3
Josh Downs,IND,23.6,365,1.5,1.2,9,0,0.2
Cedric Tillman,CLE,0,399.2,0.3,1.6,10.1,0.1,0.3
Laviska Shenault Jr.,CAR,18,248.6,0.7,18.5,86.7,0.8,0.2
Kayshon Boutte,NE,0,388.5,0.3,1.6,9.8,0.1,0.3
Chris Moore,TEN,26.3,285.6,1.2,1.2,3.5,0,0
Puka Nacua,LAR,18.5,294.9,0.8,1.5,9.3,0.1,0.1
Quez Watkins,PHI,16.2,280.3,1.1,0.8,1.8,0,0.2
Olamide Zaccheaus,PHI,21.8,269.6,1.2,0.8,2.8,0,0.4
Braxton Berrios,MIA,17.9,235.1,0.9,2.3,28.5,0.4,0.3
Noah Brown,HOU,25,268.8,1.1,0.1,0.5,0,0.1
Tank Dell,HOU,16.4,285.1,0.7,0.8,4.8,0.1,0.2
Jauan Jennings,SF,19.9,257.8,1.1,0,0.2,0,0
Devin Duvernay,BAL,12.2,220.5,0.7,3.8,43.7,0.2,0
Xavier Hutchinson,HOU,0,297.8,0.1,1.2,7.4,0.1,0.2
Robbie Chosen,MIA,0,291.2,0.2,0.8,5.6,0,0.2
Marquise Goodwin,CLE,15.8,210.4,1.4,1.2,6,0,0
Kalif Raymond,DET,16.8,205.4,1.1,0.8,19.6,0.2,0.1
Charlie Jones,CIN,18.4,231.1,1.1,0.9,7.1,0,0.7
Michael Wilson,ARI,15.1,239.4,0.6,1.2,10.1,0.1,0.1
Terrell Bynum,LAC,16.2,198.3,1.2,0,10.6,0,0
Samori Toure,GB,19.6,213.8,1.1,0.4,3.4,0,0.1
Randall Cobb,NYJ,19.5,211.1,1.1,0.2,0.7,0,0.1
Cedrick Wilson Jr.,MIA,19.4,203.8,1,0.4,0.8,0,0
Jalen Guyton,LAC,15.1,196.1,0.8,1.2,5.8,0,0
Justin Watson,KC,13.7,183.9,0.9,0,0.3,0,0
David Bell,CLE,12.7,211.2,0.5,0,0.3,0,0
Trent Sherfield,BUF,13.5,191.1,0.8,0,0.6,0,0
Demarcus Robinson,LAR,21.9,190.2,0.8,0,0,0,0.2
