"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"20","Terry McLaurin (WAS)","87","134","1,118","12.9","68","28","4","2","30","0","1","15","223.8","14.9","95.9%"
"21","Diontae Johnson (PIT)","88","144","923","10.5","47","19","7","3","15","0","1","15","221.8","14.8","92.4%"
"22","CeeDee Lamb (DAL)","74","111","935","12.6","52","29","5","10","82","1","1","16","217.7","13.6","99.9%"
"23","Chase Claypool (CHI)","62","109","873","14.1","84","26","9","10","16","2","1","16","214.9","13.4","13.7%"
"24","Curtis Samuel (WAS)","77","97","851","11.1","44","16","3","41","200","2","0","15","212.1","14.1","9.4%"
"25","DJ Moore (CHI)","66","118","1,193","18.1","74","39","4","2","22","0","0","15","211.5","14.1","95.5%"
"26","Cooper Kupp (LAR)","92","124","974","10.6","55","20","3","4","33","0","1","15","208.7","13.9","99.9%"
"27","Cole Beasley (NYG)","82","107","967","11.8","35","17","4","0","0","0","0","15","207.5","13.8","0.1%"
"28","Tee Higgins (CIN)","67","108","908","13.6","67","22","6","5","28","0","1","16","194.6","12.2","99.8%"
"29","Tyler Boyd (CIN)","79","110","841","10.6","72","10","4","5","49","0","0","15","192.6","12.8","48.6%"
"30","Corey Davis (NYJ)","65","92","984","15.1","75","24","5","0","0","0","1","14","191.4","13.7","2.0%"
"31","Chris Godwin (TB)","65","84","840","12.9","47","23","7","0","0","0","0","12","191.0","15.9","94.7%"
"32","William Fuller V (FA)","53","75","879","16.6","77","28","8","1","0","0","0","11","188.9","17.2","0.1%"
"33","Jarvis Landry (FA)","72","101","840","11.7","32","13","3","4","10","1","0","15","188.0","12.5","7.1%"
"34","Nelson Agholor (BAL)","48","82","896","18.7","85","30","8","0","0","0","0","16","185.6","11.6","0.7%"
"35","Brandon Aiyuk (SF)","60","96","748","12.5","49","14","5","6","77","2","0","12","184.5","15.4","92.0%"
"36","Marquise Brown (ARI)","58","100","769","13.3","70","25","8","1","1","0","0","16","183.0","11.4","90.2%"
"37","Russell Gage (TB)","72","109","786","10.9","35","7","4","2","9","0","0","16","181.1","11.3","1.4%"
"38","Michael Gallup (DAL)","59","105","843","14.3","55","21","5","0","0","0","0","16","173.3","10.8","51.1%"
"39","Jamison Crowder (NYG)","59","89","699","11.8","69","17","6","1","14","0","0","12","172.0","14.3","0.2%"
"40","DeVante Parker (NE)","63","103","793","12.6","31","11","4","0","0","0","0","14","166.3","11.9","2.7%"
"41","Emmanuel Sanders (FA)","61","82","726","11.9","51","14","5","1","12","0","0","14","164.8","11.8","0.0%"
"42","T.Y. Hilton (FA)","56","93","762","13.6","50","18","5","0","0","0","0","15","164.2","10.9","3.0%"
"43","Sterling Shepard (NYG)","66","90","656","9.9","29","10","3","6","49","1","0","12","162.5","13.5","1.0%"
"44","Tim Patrick (DEN)","51","79","742","14.5","61","26","6","0","0","0","0","15","161.2","10.7","3.7%"
"45","Jerry Jeudy (DEN)","52","113","856","16.5","92","24","3","0","0","0","0","16","157.6","9.9","93.6%"
"46","Laviska Shenault Jr. (CAR)","58","79","600","10.3","36","12","5","18","91","0","0","14","157.1","11.2","0.7%"
"47","Keelan Cole Sr. (LV)","55","88","642","11.7","51","12","5","1","2","0","0","16","155.4","9.7","0.0%"
"48","Mike Williams (LAC)","48","85","756","15.8","64","21","5","1","1","0","0","15","153.7","10.2","92.3%"
"49","DJ Chark Jr. (CAR)","53","93","706","13.3","73","15","5","0","0","0","0","13","153.6","11.8","54.8%"
"50","Darnell Mooney (CHI)","61","98","631","10.3","53","13","4","4","20","0","0","16","152.1","9.5","45.9%"
"51","Christian Kirk (JAC)","48","79","621","12.9","80","17","6","2","3","0","0","14","146.4","10.5","91.0%"
"52","Julio Jones (FA)","51","68","771","15.1","44","22","3","0","0","0","0","9","146.1","16.2","7.2%"
"53","Jakobi Meyers (LV)","59","81","729","12.4","35","14","0","2","9","0","1","14","142.6","10.2","68.6%"
"54","Darius Slayton (NYG)","50","96","751","15.0","41","17","3","2","-1","0","1","16","141.0","8.8","2.5%"
"55","Marquez Valdes-Scantling (KC)","33","63","690","20.9","78","27","6","4","13","0","1","16","137.3","8.6","13.1%"
"56","Gabe Davis (BUF)","35","62","599","17.1","56","20","7","1","0","0","0","16","136.9","8.6","86.9%"
"57","Zach Pascal (ARI)","44","71","629","14.3","42","16","5","0","0","0","0","16","136.9","8.6","0.1%"
"58","Greg Ward (PHI)","53","79","419","7.9","32","4","6","2","-4","0","0","16","133.1","8.3","0.1%"
"59","Hunter Renfrow (LV)","56","77","656","11.7","53","13","2","0","0","0","1","16","131.6","8.2","9.9%"
"60","Kendrick Bourne (NE)","49","74","667","13.6","49","9","2","0","0","0","0","15","129.7","8.6","0.8%"
"61","Mecole Hardman Jr. (NYJ)","41","62","560","13.7","49","13","4","4","31","0","2","16","128.1","8.0","7.9%"
"62","Josh Reynolds (DET)","52","81","618","11.9","40","10","2","1","5","0","1","16","124.3","7.8","0.8%"
"63","Rashard Higgins (FA)","37","52","599","16.2","43","18","4","0","0","0","0","13","120.9","9.3","0.0%"
"64","David Moore (TB)","35","47","417","11.9","57","14","6","8","61","0","0","16","118.8","7.4","0.0%"
"65","Antonio Brown (FA)","45","62","483","10.7","46","9","4","2","-2","0","0","8","117.1","14.6","0.2%"
"66","Travis Fulgham (FA)","38","67","539","14.2","42","11","4","0","0","0","0","13","115.9","8.9","0.0%"
"67","Damiere Byrd (CAR)","47","77","604","12.9","42","15","1","2","15","0","0","16","114.9","7.2","0.0%"
"68","A.J. Green (FA)","47","104","523","11.1","33","5","2","0","0","0","0","16","111.3","7.0","0.6%"
"69","Anthony Miller (FA)","49","76","485","9.9","34","5","2","2","12","0","1","16","108.7","6.8","0.0%"
"70","Demarcus Robinson (LAR)","45","59","466","10.4","28","7","3","0","0","0","1","15","107.6","7.2","0.2%"
"71","Danny Amendola (FA)","46","69","602","13.1","50","13","0","1","2","0","0","14","106.4","7.6","0.0%"
"72","Tre'Quan Smith (NO)","34","50","448","13.2","31","10","4","1","3","0","0","14","103.1","7.4","0.6%"
"73","Scott Miller (ATL)","33","53","501","15.2","48","16","3","3","14","0","0","16","102.5","6.4","0.1%"
"74","Larry Fitzgerald (FA)","54","72","409","7.6","18","0","1","0","0","0","0","13","100.9","7.8","0.2%"
"75","Randall Cobb (NYJ)","38","48","441","11.6","34","7","3","0","0","0","0","10","100.1","10.0","0.7%"
"76","Isaiah McKenzie (IND)","30","34","282","9.4","46","5","5","10","9","0","0","16","99.6","6.2","1.3%"
"77","James Washington (NO)","30","56","392","13.1","50","9","5","0","0","0","0","16","99.2","6.2","0.1%"
"78","Breshad Perriman (IND)","30","60","505","16.8","53","19","3","1","6","0","0","12","99.1","8.3","0.0%"
"79","Michael Pittman Jr. (IND)","40","61","503","12.6","45","10","1","3","26","0","0","13","98.9","7.6","91.6%"
"80","Allen Lazard (NYJ)","33","46","451","13.7","72","13","3","2","17","0","0","10","97.8","9.8","66.7%"
"81","Braxton Berrios (MIA)","37","55","394","10.6","43","10","3","3","29","0","0","16","97.3","6.1","0.8%"
"82","Chris Conley (SF)","40","63","471","11.8","51","9","2","0","0","0","1","15","97.1","6.5","0.1%"
"83","Jalen Guyton (LAC)","28","55","511","18.3","72","18","3","2","0","0","0","16","97.1","6.1","0.1%"
"84","John Brown (FA)","33","52","458","13.9","46","12","3","0","0","0","0","9","96.8","10.8","0.0%"
"85","Willie Snead IV (SF)","33","48","432","13.1","34","10","3","0","0","0","0","13","94.2","7.2","0.0%"
"86","KJ Hamler (FA)","30","56","381","12.7","49","9","3","9","40","0","0","13","90.1","6.9","0.7%"
"87","Sammy Watkins (FA)","37","55","421","11.4","37","5","2","1","3","0","1","10","88.4","8.8","1.6%"
"88","Jakeem Grant Sr. (CLE)","36","54","373","10.4","30","4","1","3","20","0","0","14","87.3","6.2","0.1%"
"89","Jalen Reagor (MIN)","31","54","396","12.8","55","9","1","4","26","0","0","11","87.2","7.9","0.2%"
"90","Keke Coutee (NO)","33","40","400","12.1","64","8","3","0","0","0","3","8","87.0","10.9","0.0%"
"91","Odell Beckham Jr. (BAL)","23","43","319","13.9","43","6","3","3","72","1","0","7","86.8","12.4","85.5%"
"92","Golden Tate (FA)","35","52","388","11.1","39","8","2","0","0","0","0","12","86.5","7.2","0.0%"
"93","Cam Sims (LV)","32","48","477","14.9","50","18","1","1","5","0","0","16","86.2","5.4","0.0%"
"94","Henry Ruggs III (FA)","26","43","452","17.4","72","18","2","9","49","0","2","13","84.1","6.5","10.9%"
"95","Michael Thomas (NO)","40","55","438","11.0","24","5","0","1","1","0","0","7","83.9","12.0","86.0%"
"96","Deebo Samuel (SF)","33","44","391","11.8","35","10","1","8","26","0","0","7","80.7","11.5","98.7%"
"97","Tyron Johnson (DAL)","20","26","398","19.9","55","19","3","3","17","0","0","12","79.5","6.6","0.0%"
"98","Preston Williams (FA)","18","35","288","16.0","47","10","4","0","0","0","0","8","74.8","9.4","0.0%"
"99","N'Keal Harry (FA)","33","57","309","9.4","30","3","2","2","0","0","1","14","73.9","5.3","0.0%"
"100","Miles Boykin (PIT)","19","33","266","14.0","43","6","4","0","0","0","0","16","69.6","4.4","0.1%"
"101","Quintez Cephus (DET)","20","35","349","17.5","49","12","2","0","0","0","0","13","66.9","5.1","0.0%"
"102","Kenny Golladay (FA)","20","32","338","16.9","48","7","2","0","0","0","0","5","65.8","13.2","2.1%"
"103","Richie James Jr. (KC)","23","35","394","17.1","47","15","1","0","0","0","2","11","64.4","5.9","2.3%"
"104","DaeSean Hamilton (FA)","23","44","293","12.7","40","4","2","0","0","0","1","16","62.3","3.9","0.0%"
"105","Denzel Mims (DET)","23","44","357","15.5","30","7","0","0","0","0","0","9","60.7","6.7","0.7%"
"106","Marvin Hall (FA)","18","32","302","16.8","73","10","2","1","1","0","0","12","60.3","5.0","0.0%"
"107","Collin Johnson (NYG)","18","31","272","15.1","46","8","2","0","0","0","0","14","59.2","4.2","0.0%"
"108","Donovan Peoples-Jones (CLE)","14","20","304","21.7","75","9","2","0","0","0","0","12","58.4","4.9","17.3%"
"109","Adam Humphries (FA)","23","35","228","9.9","23","2","2","1","0","0","0","7","57.8","8.3","1.0%"
"110","Steven Sims Jr. (HOU)","27","37","265","9.8","30","4","1","1","18","0","2","12","57.3","4.8","0.1%"
"111","Julian Edelman (FA)","21","39","315","15.0","49","6","0","2","22","0","0","6","56.2","9.4","12.1%"
"112","Isaiah Ford (CHI)","28","44","276","9.9","18","0","0","0","0","0","0","10","55.6","5.6","0.0%"
"113","Andy Isabella (BUF)","21","35","224","10.7","54","6","2","1","-6","0","0","13","54.8","4.2","0.0%"
"114","Lynn Bowden Jr. (NO)","28","37","211","7.5","22","1","0","9","32","0","0","10","53.6","5.4","0.0%"
"115","Olamide Zaccheaus (PHI)","20","32","274","13.7","51","7","1","1","0","0","0","11","53.4","4.9","0.6%"
"116","Devin Duvernay (BAL)","20","26","201","10.1","39","2","0","4","70","0","0","16","53.1","3.3","1.2%"
"117","Cedrick Wilson Jr. (MIA)","17","28","189","11.1","42","6","2","3","-12","0","0","16","51.6","3.2","0.2%"
"118","Chad Beebe (FA)","20","30","201","10.1","40","3","2","0","0","0","1","14","50.1","3.6","0.0%"
"119","Deonte Harty (BUF)","20","25","186","9.3","40","3","1","6","51","0","1","9","47.7","5.3","0.2%"
"120","Van Jefferson (LAR)","19","31","220","11.6","31","3","1","1","-1","0","0","16","46.9","2.9","5.2%"
"121","Chad Hansen (FA)","17","24","236","13.9","38","4","1","0","0","0","0","5","46.6","9.3","0.0%"
"122","Dontrelle Inman (FA)","18","28","163","9.1","17","0","2","0","0","0","0","10","46.3","4.6","0.0%"
"123","Isaiah Wright (FA)","27","35","197","7.3","22","1","0","3","16","0","1","14","46.3","3.3","0.0%"
"124","DeSean Jackson (FA)","14","26","236","16.9","81","6","1","1","12","0","0","5","44.8","9.0","1.0%"
"125","Mohamed Sanu Sr. (FA)","17","24","187","11.0","21","3","1","1","3","0","0","10","44.0","4.4","0.0%"
"126","Marquez Callaway (DEN)","21","27","213","10.1","27","1","0","0","0","0","0","11","42.3","3.8","0.1%"
"127","Byron Pringle (WAS)","13","17","160","12.3","37","5","1","0","0","0","0","12","41.0","3.4","0.0%"
"128","Freddie Swain (MIA)","13","21","159","12.2","23","3","2","0","0","0","0","16","40.9","2.6","0.0%"
"129","Tyler Johnson (LAR)","12","17","169","14.1","35","5","2","0","0","0","0","14","40.9","2.9","0.0%"
"130","Marcus Johnson (FA)","14","28","255","18.2","55","10","0","0","0","0","0","11","39.5","3.6","0.0%"
"131","Mack Hollins (ATL)","16","25","176","11.0","34","3","1","0","0","0","1","16","37.6","2.4","1.5%"
"132","Zay Jones (JAC)","14","20","154","11.0","37","2","1","0","0","0","0","16","36.6","2.3","40.0%"
"133","Bryan Edwards (NO)","11","15","193","17.5","34","6","1","0","0","0","0","12","36.3","3.0","0.1%"
"134","Bisi Johnson (FA)","14","19","189","13.5","29","3","0","0","0","0","0","16","34.9","2.2","0.0%"
"135","Jeff Smith (NYG)","17","37","167","9.8","21","1","0","0","0","0","0","12","33.7","2.8","0.0%"
"136","KeeSean Johnson (BUF)","15","23","173","11.5","45","5","0","0","0","0","0","8","32.3","4.0","0.0%"
"137","Ray-Ray McCloud III (SF)","20","22","77","3.9","13","0","0","4","65","0","1","16","32.2","2.0","0.6%"
"138","Kenny Stills (FA)","11","19","144","13.1","24","2","1","0","0","0","0","10","31.4","3.1","0.0%"
"139","Mike Thomas (FA)","13","21","132","10.2","29","2","1","1","1","0","1","14","30.3","2.2","0.0%"
"140","Cameron Batson (FA)","12","13","100","8.3","18","0","1","4","20","0","0","12","30.0","2.5","0.0%"
"141","Noah Brown (HOU)","14","24","154","11.0","20","1","0","1","4","0","0","16","29.8","1.9","0.6%"
"142","Brandon Powell (MIN)","12","18","69","5.8","13","0","2","2","7","0","1","15","29.6","2.0","0.1%"
"143","Jamal Agnew (JAC)","13","20","89","6.8","20","1","0","6","33","0","1","14","29.2","2.1","0.7%"
"144","KhaDarel Hodge (ATL)","11","17","180","16.4","42","4","0","0","0","0","0","9","29.0","3.2","0.1%"
"145","Auden Tate (FA)","14","22","150","10.7","19","0","0","0","0","0","0","9","29.0","3.2","0.0%"
"146","John Hightower (LAC)","10","29","167","16.7","59","8","0","1","1","0","0","13","28.8","2.2","0.0%"
"147","Kalif Raymond (DET)","9","15","187","20.8","61","9","0","1","-3","0","0","15","27.4","1.8","0.7%"
"148","Christian Blake (FA)","13","18","141","10.8","25","3","0","0","0","0","0","16","27.1","1.7","0.0%"
"149","Chris Hogan (FA)","14","26","118","8.4","27","1","0","0","0","0","0","5","25.8","5.2","0.0%"
"150","Gunner Olszewski (PIT)","5","5","62","12.4","38","2","1","5","23","0","0","13","25.5","2.0","0.1%"
"151","Equanimeous St. Brown (CHI)","7","13","117","16.7","24","3","1","1","7","0","0","12","25.4","2.1","0.2%"
"152","Malcolm Perry (FA)","9","13","92","10.2","25","1","1","3","5","0","0","9","24.7","2.7","0.0%"
"153","Quez Watkins (PHI)","7","13","106","15.1","43","5","1","0","0","0","0","6","23.6","3.9","0.8%"
"154","Alshon Jeffery (FA)","6","13","115","19.2","39","4","1","0","0","0","0","7","23.5","3.4","0.0%"
"155","Laquon Treadwell (BAL)","6","7","49","8.2","14","0","2","0","0","0","0","5","22.9","4.6","0.1%"
"156","Dez Bryant (FA)","6","11","47","7.8","16","0","2","0","0","0","0","6","22.7","3.8","2.6%"
"157","Alex Erickson (NYJ)","12","17","139","11.6","42","4","0","5","7","0","2","16","22.6","1.4","0.0%"
"158","DeMichael Harris (FA)","10","10","79","7.9","21","1","0","6","46","0","0","7","22.5","3.2","0.0%"
"159","C.J. Board (FA)","11","16","101","9.2","16","0","0","1","3","0","0","14","21.4","1.5","0.0%"
"160","Trent Taylor (CIN)","10","21","86","8.6","29","2","0","0","0","0","0","12","18.6","1.6","0.1%"
"161","Malik Taylor (NYJ)","5","6","66","13.2","26","2","1","1","9","0","0","15","18.5","1.2","0.0%"
"162","Javon Wims (CAR)","6","12","48","8.0","13","0","1","1","2","0","0","13","17.0","1.3","0.0%"
"163","Justin Watson (KC)","7","11","94","13.4","36","2","0","0","0","0","0","11","16.4","1.5","0.2%"
"164","Austin Mack (FA)","7","11","91","13.0","50","4","0","0","0","0","0","11","16.1","1.5","0.0%"
"165","Dante Pettis (CHI)","4","6","76","19.0","33","3","1","0","0","0","1","7","15.6","2.2","0.1%"
"166","Parris Campbell (NYG)","6","9","71","11.8","21","1","0","2","16","0","0","2","14.7","7.4","5.3%"
"167","J.J. Arcega-Whiteside (ATL)","4","8","85","21.3","37","4","0","0","0","0","0","8","14.5","1.8","0.0%"
"168","Lil'Jordan Humphrey (DEN)","3","5","46","15.3","17","0","1","0","0","0","0","3","13.6","4.5","0.0%"
"169","Diontae Spencer (FA)","3","6","26","8.7","10","0","0","3","19","0","0","11","13.5","1.2","0.0%"
"170","Jaydon Mickens (NYG)","7","10","58","8.3","11","0","0","0","0","0","0","10","12.8","1.3","0.0%"
"171","KJ Hill Jr. (FA)","7","11","73","10.4","25","1","0","0","0","0","1","15","12.3","0.8","0.0%"
"172","Pharoh Cooper (FA)","5","8","73","14.6","32","2","0","0","0","0","0","16","12.3","0.8","0.0%"
"173","Tyrie Cleveland (PHI)","6","9","63","10.5","17","0","0","0","0","0","0","10","12.3","1.2","0.0%"
"174","Austin Carr (FA)","3","4","27","9.0","11","0","1","0","0","0","0","6","11.7","2.0","0.0%"
"175","Steven Mitchell Jr. (FA)","5","8","60","12.0","20","1","0","0","0","0","0","6","11.0","1.8","0.0%"
"176","Ja'Marcus Bradley (PIT)","5","11","60","12.0","22","1","0","0","0","0","0","3","11.0","3.7","0.0%"
"177","Damion Ratley (FA)","4","10","63","15.8","29","1","0","0","0","0","0","5","10.3","2.1","0.0%"
"178","River Cracraft (MIA)","6","9","41","6.8","12","0","0","0","0","0","0","9","10.1","1.1","0.1%"
"179","Trent Sherfield (BUF)","5","7","50","10.0","26","1","0","0","0","0","0","15","10.0","0.7","0.2%"
"180","Courtland Sutton (DEN)","3","6","66","22.0","45","4","0","0","0","0","0","1","9.6","9.6","74.3%"
"181","Ashton Dulin (IND)","3","6","53","17.7","34","2","0","2","11","0","0","13","9.4","0.7","0.1%"
"182","Jake Kumerow (FA)","1","1","22","22.0","22","1","1","0","0","0","0","6","9.2","1.5","0.0%"
"183","Joe Reed (CHI)","0","1","0","0","0","0","0","5","29","1","0","11","8.9","0.8","0.0%"
"184","Nick Westbrook-Ikhine (TEN)","3","8","33","11.0","19","0","0","0","0","0","0","14","8.3","0.6","0.8%"
"185","Riley Ridley (FA)","4","4","39","9.8","18","0","0","0","0","0","0","5","7.9","1.6","0.0%"
"186","Darrius Shepherd (LAC)","5","8","46","9.2","19","0","0","0","0","0","1","8","7.6","1.0","0.0%"
"187","Seth Roberts (FA)","4","6","31","7.8","12","0","0","0","0","0","0","7","7.1","1.0","0.0%"
"188","Ted Ginn Jr. (FA)","3","6","40","13.3","29","1","0","0","0","0","0","5","7.0","1.4","0.0%"
"189","Isaiah Zuber (FA)","2","2","29","14.5","16","0","0","2","21","0","0","4","7.0","1.8","0.0%"
"190","Josh Malone (FA)","4","6","16","4.0","13","0","0","1","12","0","0","4","6.8","1.7","0.0%"
"191","Brandon Zylstra (FA)","3","4","35","11.7","28","1","0","1","1","0","0","16","6.6","0.4","0.0%"
"192","Terry Godwin (FA)","3","6","32","10.7","21","1","0","1","3","0","0","3","6.5","2.2","0.0%"
"193","Robert Foster (FA)","2","6","37","18.5","28","1","0","0","0","0","0","4","5.7","1.4","0.0%"
"194","Lawrence Cager (NYG)","2","6","35","17.5","19","0","0","0","0","0","0","2","5.5","2.8","0.0%"
"195","Tavon Austin (FA)","5","5","20","4.0","7","0","0","0","0","0","1","4","5.0","1.3","0.0%"
"196","Deontay Burnett (FA)","3","4","19","6.3","10","0","0","0","0","0","0","2","4.9","2.5","0.0%"
"197","Daurice Fountain (CHI)","2","3","23","11.5","12","0","0","0","0","0","0","5","4.3","0.9","0.0%"
"198","Antonio Callaway (FA)","2","4","20","10.0","13","0","0","0","0","0","0","5","4.0","0.8","0.0%"
"199","John Ross (FA)","2","7","17","8.5","15","0","0","0","0","0","0","3","3.7","1.2","0.1%"
"200","Antonio Gandy-Golden (FA)","1","7","3","3.0","3","0","0","1","22","0","0","6","3.5","0.6","0.0%"
"201","Penny Hart (ATL)","1","1","3","3.0","3","0","0","1","19","0","0","13","3.2","0.2","0.0%"
"202","Bennie Fowler III (FA)","2","6","11","5.5","7","0","0","0","0","0","0","5","3.1","0.6","0.0%"
"203","Andre Roberts (FA)","4","5","34","8.5","16","0","0","1","-3","0","2","15","3.1","0.2","0.0%"
"204","Tommylee Lewis (FA)","1","3","5","5.0","5","0","0","2","14","0","0","5","2.9","0.6","0.0%"
"205","Donte Moncrief (FA)","1","2","15","15.0","15","0","0","1","4","0","0","6","2.9","0.5","0.0%"
"206","Jaleel Scott (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"207","James Proche II (BAL)","1","3","14","14.0","14","0","0","0","0","0","0","14","2.4","0.2","0.1%"
"208","Vyncint Smith (IND)","1","3","13","13.0","13","0","0","0","0","0","0","7","2.3","0.3","0.0%"
"209","Keith Kirkwood (NO)","1","2","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"210","Cody Hollister (FA)","1","1","12","12.0","12","0","0","0","0","0","0","2","2.2","1.1","0.0%"
"211","Marcus Kemp (WAS)","1","1","11","11.0","11","0","0","0","0","0","0","10","2.1","0.2","0.0%"
"212","Gehrig Dieter (FA)","1","2","10","10.0","10","0","0","0","0","0","0","4","2.0","0.5","0.0%"
"213","Trenton Irwin (CIN)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.2%"
"214","JoJo Natson (FA)","0","0","0","0","0","0","0","1","3","0","0","3","0.3","0.1","0.0%"
"215","Jason Moore Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"216","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Reggie Begelton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Hakeem Butler (PIT)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"219","Quinton Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"220","Juwann Winfree (IND)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"221","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"222","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Dan Chisena (PIT)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"224","Isaiah Coulter (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Dezmon Patmon (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","K.J. Osborn (MIN)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","15.4%"
"228","Matt Cole (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Chris Rowland (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"230","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Tony Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Jordan Matthews (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"233","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.1%"
"234","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"235","Taywan Taylor (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"236","Duke Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Marken Michel (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"238","Rico Gafford (FA)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"239","Malik Turner (IND)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"240","Fred Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"241","Cyril Grayson Jr. (FA)","0","3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"242","Deante Burton (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"243","Derrick Willies (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"244","Jeff Badet (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"245","Trey Quinn (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"246","Deon Cain (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
