"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","115","149","1,374","11.9","56","34","18","0","0","0","1","14","358.4","25.6","99.9%"
"2","Tyreek Hill (MIA)","87","135","1,276","14.7","75","38","15","13","123","2","0","15","328.9","21.9","100.0%"
"3","Stefon Diggs (BUF)","127","166","1,535","12.1","55","32","8","1","1","0","0","16","328.6","20.5","99.9%"
"4","DeAndre Hopkins (TEN)","115","160","1,407","12.2","60","35","6","1","1","0","2","16","287.8","18.0","97.1%"
"5","Calvin Ridley (JAC)","90","143","1,374","15.3","63","36","9","5","1","0","1","15","281.5","18.8","94.8%"
"6","Justin Jefferson (MIN)","88","125","1,400","15.9","71","39","7","1","2","0","0","16","274.2","17.1","100.0%"
"7","DK Metcalf (SEA)","83","129","1,303","15.7","62","37","10","0","0","0","1","16","271.3","17.0","99.3%"
"8","Tyler Lockett (SEA)","100","132","1,054","10.5","47","17","10","0","0","0","0","16","265.4","16.6","94.0%"
"9","Allen Robinson II (PIT)","102","151","1,250","12.3","42","27","6","1","-1","0","0","16","262.9","16.4","4.0%"
"10","Adam Thielen (CAR)","74","108","925","12.5","51","18","14","3","15","0","0","15","254.0","16.9","62.6%"
"11","Mike Evans (TB)","70","109","1,006","14.4","50","29","13","0","0","0","0","16","248.6","15.5","93.9%"
"12","A.J. Brown (PHI)","70","106","1,075","15.4","73","28","11","0","0","0","1","14","247.5","17.7","99.9%"
"13","Robert Woods (HOU)","90","129","936","10.4","56","19","6","24","155","2","1","16","245.1","15.3","4.5%"
"14","Keenan Allen (LAC)","100","147","992","9.9","28","10","8","1","-1","0","2","14","245.1","17.5","97.6%"
"15","Amari Cooper (CLE)","92","130","1,114","12.1","69","26","5","6","14","0","0","16","236.8","14.8","97.5%"
"16","JuJu Smith-Schuster (NE)","97","128","831","8.6","31","14","9","0","0","0","1","16","234.1","14.6","75.5%"
"17","Brandin Cooks (DAL)","81","119","1,150","14.2","57","32","6","0","0","0","0","15","232.0","15.5","87.5%"
"18","Marvin Jones Jr. (DET)","76","115","978","12.9","43","23","9","0","0","0","0","16","227.8","14.2","2.9%"
"19","Robbie Chosen (MIA)","95","136","1,096","11.5","75","25","3","4","15","0","1","16","224.1","14.0","0.7%"
