,Player,Team,REC,YDS,TD,ATT,YDS.1,TDS,FL,Prediction
65,Tim Patrick,DEN,43.5,616.3,3.9,0.0,0.4,0.0,0.0,9.21652
66,Van Jefferson,LAR,42.2,598.8,3.9,0.9,6.1,0.0,0.0,9.21652
67,Michael Gallup,DAL,45.9,601.4,3.9,0.0,0.9,0.0,0.0,9.21652
68,Hunter Renfrow,LV,62.0,607.3,3.8,0.6,4.7,0.0,0.6,9.492651
69,Isaiah Hodgins,NYG,48.4,548.1,4.9,0.0,0.7,0.0,0.7,9.21652
70,K.J. Osborn,MIN,48.2,551.6,4.4,2.6,12.3,0.1,0.3,9.21652
71,Skyy Moore,KC,46.7,603.9,3.4,6.1,35.9,0.2,2.9,8.937854
72,Elijah Moore,CLE,42.7,579.1,3.1,4.9,24.4,0.2,0.3,8.937854
73,Alec Pierce,IND,42.2,631.5,2.6,0.0,0.3,0.0,0.0,8.937854
74,Odell Beckham Jr.,BAL,39.7,541.7,3.4,1.4,20.7,0.3,0.1,8.805303
75,Darius Slayton,NYG,39.4,600.2,2.5,0.7,2.1,0.0,0.6,8.937854
76,Jayden Reed,GB,45.1,564.4,2.7,1.2,12.4,0.1,0.2,8.937854
77,Robert Woods,HOU,55.0,546.6,2.8,4.1,19.6,0.2,0.4,9.044786
78,John Metchie III,HOU,39.3,544.1,2.8,1.4,10.9,0.1,0.2,8.937854
79,Tyquan Thornton,NE,38.9,489.3,2.9,2.8,10.0,0.6,0.0,8.805303
80,Mecole Hardman Jr.,NYJ,37.7,457.7,2.6,8.1,62.3,0.9,0.9,7.3528
81,Russell Gage,TB,53.9,542.4,2.7,0.4,1.5,0.0,0.6,8.879143
82,Corey Davis,NYJ,36.8,542.5,2.6,0.0,0.5,0.0,0.1,8.004877
83,Chase Claypool,CHI,33.3,492.6,2.5,6.0,40.7,0.2,0.5,8.004877
84,Mack Hollins,ATL,43.3,490.6,2.8,0.7,16.0,0.1,0.2,8.805303
85,Rashee Rice,KC,34.0,497.8,2.8,1.5,9.6,0.0,0.5,8.004877
86,Allen Robinson II,PIT,41.0,524.1,2.4,0.1,0.4,0.0,0.0,7.8973126
87,Greg Dortch,ARI,55.1,504.6,2.0,6.4,51.8,0.1,0.6,8.004244
88,Marvin Jones Jr.,DET,36.5,481.5,3.0,0.1,0.6,0.0,0.0,7.9026084
89,Khalil Shakir,BUF,36.6,515.2,2.3,1.2,7.0,0.1,0.1,7.608489
90,Wan'Dale Robinson,NYG,37.4,473.6,2.0,2.5,10.5,0.1,0.5,7.3329725
91,Isaiah McKenzie,IND,38.9,405.9,2.0,7.8,49.5,0.3,0.0,7.621795
92,Jalin Hyatt,NYG,33.7,455.3,2.2,1.4,10.2,0.1,0.5,7.3329725
93,Josh Reynolds,DET,32.6,454.0,2.2,0.4,0.6,0.0,0.2,7.3329725
94,Joshua Palmer,LAC,36.8,458.8,2.0,0.6,2.3,0.0,0.3,7.3329725
95,Parris Campbell,NYG,31.7,406.3,2.0,3.2,36.8,0.1,0.2,7.3329725
96,Nick Westbrook-Ikhine,TEN,29.1,400.6,2.5,0.0,0.4,0.0,0.2,7.34725
97,Ben Skowronek,LAR,39.8,390.3,1.7,0.5,5.7,0.4,0.0,7.621795
98,Terrace Marshall Jr.,CAR,24.2,427.6,1.5,0.0,0.2,0.0,0.0,7.3274226
99,Kendrick Bourne,NE,25.0,381.3,1.6,3.7,26.9,0.1,0.1,7.3274226
100,Marvin Mims Jr.,DEN,25.6,397.7,1.4,1.0,6.4,0.1,0.3,6.6888213
101,Richie James Jr.,KC,28.0,361.6,2.3,0.6,1.7,0.0,1.2,7.3089857
102,Tutu Atwell,LAR,24.1,339.2,1.3,7.0,34.7,0.5,0.4,6.6703844
103,Sterling Shepard,NYG,28.9,354.5,1.7,2.0,12.8,0.1,0.3,7.3089857
104,Josh Downs,IND,23.6,365.0,1.5,1.2,9.0,0.0,0.2,7.3274226
105,Cedric Tillman,CLE,0.0,399.2,0.3,1.6,10.1,0.1,0.3,9.258
106,Laviska Shenault Jr.,CAR,18.0,248.6,0.7,18.5,86.7,0.8,0.2,6.6703844
107,Kayshon Boutte,NE,0.0,388.5,0.3,1.6,9.8,0.1,0.3,9.258
108,Chris Moore,TEN,26.3,285.6,1.2,1.2,3.5,0.0,0.0,6.6703844
109,Puka Nacua,LAR,18.5,294.9,0.8,1.5,9.3,0.1,0.1,6.6703844
110,Quez Watkins,PHI,16.2,280.3,1.1,0.8,1.8,0.0,0.2,6.6703844
111,Olamide Zaccheaus,PHI,21.8,269.6,1.2,0.8,2.8,0.0,0.4,6.6703844
112,Braxton Berrios,MIA,17.9,235.1,0.9,2.3,28.5,0.4,0.3,6.6703844
113,Noah Brown,HOU,25.0,268.8,1.1,0.1,0.5,0.0,0.1,6.6703844
114,Tank Dell,HOU,16.4,285.1,0.7,0.8,4.8,0.1,0.2,6.6703844
115,Jauan Jennings,SF,19.9,257.8,1.1,0.0,0.2,0.0,0.0,6.6703844
116,Devin Duvernay,BAL,12.2,220.5,0.7,3.8,43.7,0.2,0.0,6.6703844
117,Xavier Hutchinson,HOU,0.0,297.8,0.1,1.2,7.4,0.1,0.2,9.286711
118,Robbie Chosen,MIA,0.0,291.2,0.2,0.8,5.6,0.0,0.2,9.286711
119,Marquise Goodwin,CLE,15.8,210.4,1.4,1.2,6.0,0.0,0.0,6.6703844
120,Kalif Raymond,DET,16.8,205.4,1.1,0.8,19.6,0.2,0.1,6.6703844
121,Charlie Jones,CIN,18.4,231.1,1.1,0.9,7.1,0.0,0.7,6.6703844
122,Michael Wilson,ARI,15.1,239.4,0.6,1.2,10.1,0.1,0.1,6.6703844
123,Terrell Bynum,LAC,16.2,198.3,1.2,0.0,10.6,0.0,0.0,6.6703844
124,Samori Toure,GB,19.6,213.8,1.1,0.4,3.4,0.0,0.1,6.6703844
125,Randall Cobb,NYJ,19.5,211.1,1.1,0.2,0.7,0.0,0.1,6.6703844
126,Cedrick Wilson Jr.,MIA,19.4,203.8,1.0,0.4,0.8,0.0,0.0,6.6703844
127,Jalen Guyton,LAC,15.1,196.1,0.8,1.2,5.8,0.0,0.0,6.6703844
128,Justin Watson,KC,13.7,183.9,0.9,0.0,0.3,0.0,0.0,6.6703844
129,David Bell,CLE,12.7,211.2,0.5,0.0,0.3,0.0,0.0,6.6703844
130,Trent Sherfield,BUF,13.5,191.1,0.8,0.0,0.6,0.0,0.0,6.6703844
131,Demarcus Robinson,LAR,21.9,190.2,0.8,0.0,0.0,0.0,0.2,6.6703844
132,Kyle Philips,TEN,11.7,197.3,0.5,1.1,5.2,0.0,0.2,6.6703844
133,Cade Johnson,SEA,14.6,164.6,1.1,0.0,2.4,0.0,0.0,6.6703844
134,A.T. Perry,NO,0.0,226.0,0.0,0.9,5.6,0.0,0.2,9.286711
135,Tyler Scott,CHI,0.0,213.7,0.0,0.9,5.3,0.0,0.1,9.286711
136,Jamal Agnew,JAC,14.6,123.1,0.5,3.7,45.4,0.3,0.1,6.6703844
137,Bo Melton,GB,12.0,143.6,0.9,0.0,7.8,0.0,0.0,6.6703844
138,Dyami Brown,WAS,12.3,160.6,0.6,0.4,7.6,0.0,0.0,6.6703844
139,KhaDarel Hodge,ATL,12.4,136.1,0.9,0.0,4.1,0.0,0.0,6.6703844
140,Trey Palmer,TB,15.2,166.2,0.5,0.3,1.8,0.0,0.1,6.6703844
141,Greg Ward,PHI,11.8,147.1,0.7,0.0,0.7,0.0,0.0,6.6703844
142,Justyn Ross,KC,1.8,176.7,0.1,1.3,4.6,0.1,0.1,9.286711
143,Equanimeous St. Brown,CHI,9.6,135.3,0.6,0.4,11.4,0.0,0.0,7.046532
144,Parker Washington,JAC,0.0,177.4,0.0,0.7,4.4,0.0,0.1,9.286711
145,Zach Pascal,ARI,13.4,140.2,0.5,0.1,0.9,0.0,0.1,6.6703844
146,Dee Eskridge,SEA,13.4,111.3,0.5,3.0,20.9,0.1,0.0,6.6703844
147,Steven Sims Jr.,HOU,7.7,96.0,0.5,0.0,28.0,0.2,0.1,7.046532
148,Shi Smith,CAR,10.1,130.2,0.5,0.1,2.2,0.0,0.2,7.046532
149,Deonte Harty,BUF,5.6,131.8,0.3,1.7,12.8,0.0,0.3,7.028985
150,David Moore,TB,8.7,104.1,0.6,0.0,10.4,0.1,0.0,7.046532
151,Tre Nixon,NE,7.6,108.8,0.7,0.0,5.9,0.0,0.0,7.046532
152,Trenton Irwin,CIN,13.5,118.9,0.5,0.1,0.7,0.0,0.0,6.6703844
153,Ashton Dulin,IND,9.8,115.1,0.5,0.3,4.7,0.0,0.1,7.046532
154,Kendall Hinton,DEN,9.6,111.1,0.5,0.1,6.2,0.0,0.0,7.046532
155,Calvin Austin III,PIT,9.3,122.8,0.4,0.3,3.4,0.0,0.1,7.028985
156,Brandon Powell,MIN,12.6,92.5,0.5,1.1,27.4,0.0,0.1,6.6703844
157,River Cracraft,MIA,7.5,105.3,0.6,0.0,0.6,0.0,0.0,7.046532
