"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DeAndre Hopkins (TEN)","115","163","1,572","13.7","49","36","11","1","-7","0","2","16","333.5","20.8","97.1%"
"2","Davante Adams (LV)","111","169","1,386","12.5","57","33","13","0","0","0","0","15","329.6","22.0","99.9%"
"3","Tyreek Hill (MIA)","87","137","1,479","17.0","75","55","12","22","151","1","0","16","328.0","20.5","100.0%"
"4","Julio Jones (FA)","113","170","1,677","14.8","58","37","8","2","12","0","2","16","325.9","20.4","7.2%"
"5","Antonio Brown (FA)","104","168","1,297","12.5","78","33","15","0","0","0","0","15","323.7","21.6","0.2%"
"6","Michael Thomas (NO)","125","147","1,405","11.2","72","28","9","0","0","0","2","16","315.5","19.7","86.0%"
"7","Adam Thielen (CAR)","113","153","1,373","12.2","68","28","9","5","30","0","1","16","307.3","19.2","62.6%"
"8","JuJu Smith-Schuster (NE)","111","166","1,426","12.8","97","33","7","1","13","0","1","16","296.9","18.6","75.5%"
"9","Mike Evans (TB)","86","138","1,524","17.7","72","47","8","0","0","0","1","16","284.4","17.8","93.9%"
"10","Stefon Diggs (BUF)","102","149","1,021","10.0","75","21","9","10","62","0","0","15","266.3","17.8","99.9%"
"11","Robert Woods (HOU)","86","130","1,219","14.2","39","27","6","19","157","1","0","16","265.6","16.6","4.5%"
"12","Keenan Allen (LAC)","97","136","1,196","12.3","54","17","6","9","75","0","1","16","260.1","16.3","97.6%"
"13","Brandin Cooks (DAL)","80","117","1,204","15.1","57","34","5","10","68","1","0","16","243.2","15.2","87.5%"
"14","T.Y. Hilton (FA)","76","120","1,270","16.7","68","43","6","0","0","0","0","14","239.0","17.1","3.0%"
"15","Odell Beckham Jr. (BAL)","77","124","1,052","13.7","51","29","6","5","19","0","1","12","230.4","19.2","85.5%"
"16","Tyler Lockett (SEA)","57","70","965","16.9","52","35","10","13","69","0","0","16","222.4","13.9","94.0%"
"17","Tyler Boyd (CIN)","76","108","1,028","13.5","49","26","7","2","3","0","0","14","221.1","15.8","48.6%"
"18","Jarvis Landry (FA)","81","149","976","12.0","51","20","4","3","60","1","1","16","217.1","13.6","7.1%"
"19","Amari Cooper (CLE)","75","107","1,005","13.4","90","21","7","2","20","0","2","15","215.5","14.4","97.5%"
"20","Julian Edelman (FA)","74","108","850","11.5","36","17","6","9","107","0","0","12","207.4","17.3","12.1%"
"21","Kenny Golladay (FA)","70","119","1,063","15.2","60","29","5","1","8","0","0","15","207.1","13.8","2.1%"
"22","Calvin Ridley (JAC)","64","92","821","12.8","75","24","10","6","27","0","1","16","206.8","12.9","94.8%"
"23","Emmanuel Sanders (FA)","71","98","868","12.2","64","25","4","4","53","1","0","12","198.2","16.5","0.0%"
"24","Adam Humphries (FA)","76","105","816","10.7","51","12","5","2","11","0","0","16","188.7","11.8","1.0%"
"25","Larry Fitzgerald (FA)","69","112","734","10.6","37","10","6","0","0","0","0","16","185.7","11.6","0.2%"
"26","Alshon Jeffery (FA)","65","92","843","13.0","52","18","6","0","0","0","0","13","185.3","14.3","0.0%"
"27","Chris Godwin (TB)","59","95","842","14.3","48","13","7","0","0","0","1","16","185.2","11.6","94.7%"
"28","Corey Davis (NYJ)","65","112","891","13.7","51","20","4","6","55","0","0","16","183.6","11.5","2.0%"
"29","Golden Tate (FA)","74","113","795","10.7","67","17","4","4","34","0","0","15","182.9","12.2","0.0%"
"30","Sterling Shepard (NYG)","66","107","872","13.2","58","23","4","3","33","0","0","16","182.5","11.4","1.0%"
"31","Mohamed Sanu Sr. (FA)","66","94","838","12.7","44","16","4","7","44","0","1","16","182.4","11.4","0.0%"
"32","Mike Williams (LAC)","43","66","664","15.4","55","18","10","7","28","1","0","16","180.2","11.3","92.3%"
"33","Dede Westbrook (FA)","66","101","717","10.9","61","20","5","9","98","0","2","16","173.5","10.8","0.0%"
"34","Nelson Agholor (BAL)","64","97","736","11.5","83","27","4","3","32","0","0","16","165.4","10.3","0.7%"
"35","Zay Jones (JAC)","56","102","652","11.6","57","12","7","1","0","0","0","16","165.2","10.3","40.0%"
"36","DJ Moore (CHI)","55","82","788","14.3","82","19","2","13","172","0","3","16","157.0","9.8","95.5%"
"37","Demaryius Thomas (FA)","59","89","677","11.5","45","15","5","0","0","0","0","15","156.7","10.4","0.1%"
"38","Jordy Nelson (FA)","63","88","739","11.7","66","15","3","1","-2","0","0","15","156.7","10.4","0.1%"
"39","Robbie Chosen (MIA)","50","94","752","15.0","76","18","6","2","-8","0","2","14","156.4","11.2","0.7%"
"40","Allen Robinson II (PIT)","55","94","754","13.7","43","19","4","1","9","0","1","13","153.3","11.8","4.0%"
"41","Taylor Gabriel (FA)","67","93","688","10.3","54","17","2","9","61","0","1","16","151.9","9.5","0.1%"
"42","DeSean Jackson (FA)","41","74","774","18.9","75","28","4","6","29","1","0","12","151.3","12.6","1.0%"
"43","Cole Beasley (NYG)","65","87","672","10.3","32","4","3","0","0","0","0","16","150.2","9.4","0.1%"
"44","A.J. Green (FA)","46","77","694","15.1","38","18","6","0","0","0","1","9","149.4","16.6","0.6%"
"45","John Brown (FA)","42","97","715","17.0","71","22","5","3","4","0","0","16","143.9","9.0","0.0%"
"46","Doug Baldwin (FA)","50","73","618","12.4","42","14","5","0","0","0","0","13","141.8","10.9","0.0%"
"47","Josh Gordon (FA)","41","71","737","18.0","55","21","4","0","0","0","0","12","138.7","11.6","0.0%"
"48","Tyrell Williams (FA)","41","65","653","15.9","75","21","5","2","15","0","0","16","137.8","8.6","0.0%"
"49","Curtis Samuel (WAS)","39","65","494","12.7","53","11","5","8","84","2","1","13","136.8","10.5","9.4%"
"50","Courtland Sutton (DEN)","42","84","704","16.8","42","25","4","1","-1","0","0","16","136.3","8.5","74.3%"
"51","Cooper Kupp (LAR)","40","55","566","14.2","70","17","6","4","25","0","0","8","135.1","16.9","99.9%"
"52","Willie Snead IV (SF)","62","95","651","10.5","28","5","1","1","13","0","0","16","134.4","8.4","0.0%"
"53","Kenny Stills (FA)","37","64","553","14.9","75","14","6","0","0","0","0","15","134.4","9.0","0.0%"
"54","Michael Crabtree (FA)","54","100","607","11.2","27","6","3","0","0","0","0","16","132.7","8.3","0.0%"
"55","Antonio Callaway (FA)","43","79","586","13.6","71","18","5","2","7","0","1","16","132.3","8.3","0.0%"
"56","Donte Moncrief (FA)","48","89","668","13.9","80","13","3","0","0","0","1","16","130.8","8.2","0.0%"
"57","Danny Amendola (FA)","59","79","575","9.7","39","5","1","1","-2","0","0","15","127.4","8.5","0.0%"
"58","Christian Kirk (JAC)","43","68","590","13.7","75","18","3","3","35","0","0","12","123.5","10.3","91.0%"
"59","Devin Funchess (FA)","44","79","549","12.5","27","8","4","0","0","0","0","14","122.9","8.8","0.0%"
"60","Anthony Miller (FA)","33","54","423","12.8","55","11","7","6","26","0","0","15","120.2","8.0","0.0%"
"61","Rashard Higgins (FA)","39","53","572","14.7","40","15","4","0","0","0","1","13","118.2","9.1","0.0%"
"62","Chester Rogers (FA)","53","72","485","9.2","34","6","2","1","-4","0","0","16","117.1","7.3","0.0%"
"63","Marvin Jones Jr. (DET)","35","62","508","14.5","39","9","5","0","0","0","0","9","115.8","12.9","2.9%"
"64","Sammy Watkins (FA)","40","55","519","13.0","50","13","3","5","52","0","0","10","115.1","11.5","1.6%"
"65","Kendrick Bourne (NE)","42","67","487","11.6","33","7","4","0","0","0","0","16","114.7","7.2","0.8%"
"66","Marquez Valdes-Scantling (KC)","38","73","581","15.3","60","20","2","2","29","0","0","16","111.0","6.9","13.1%"
"67","Josh Doctson (FA)","44","78","532","12.1","32","10","2","0","0","0","0","15","109.2","7.3","0.0%"
"68","Seth Roberts (FA)","45","64","494","11.0","44","11","2","3","5","0","0","15","106.9","7.1","0.0%"
"69","William Fuller V (FA)","32","45","503","15.7","73","13","4","0","0","0","0","7","106.3","15.2","0.1%"
"70","Chris Hogan (FA)","35","55","532","15.2","63","16","3","0","0","0","0","16","106.2","6.6","0.0%"
"71","Dante Pettis (CHI)","27","45","467","17.3","75","16","5","1","-2","0","0","12","103.5","8.6","0.1%"
"72","David Moore (TB)","26","53","445","17.1","54","16","5","1","5","0","0","16","101.0","6.3","0.0%"
"73","Tre'Quan Smith (NO)","28","44","427","15.3","62","11","5","0","0","0","0","15","100.7","6.7","0.6%"
"74","Josh Reynolds (DET)","29","53","402","13.9","33","7","5","2","8","0","0","16","100.0","6.3","0.8%"
"75","Robert Foster (FA)","27","44","541","20.0","75","20","3","0","0","0","0","13","99.1","7.6","0.0%"
"76","Michael Gallup (DAL)","33","68","507","15.4","49","16","2","0","0","0","0","16","97.7","6.1","51.1%"
"77","Jarius Wright (FA)","43","59","447","10.4","33","9","1","2","39","0","1","16","97.6","6.1","0.0%"
"78","Albert Wilson (FA)","26","35","391","15.0","75","15","4","8","16","0","0","7","96.8","13.8","0.0%"
"79","Chris Conley (SF)","32","52","334","10.4","27","4","5","0","0","0","2","16","91.4","5.7","0.1%"
"80","Keelan Cole Sr. (LV)","38","70","491","12.9","35","10","1","0","0","0","2","16","89.1","5.6","0.0%"
"81","Taywan Taylor (FA)","37","56","466","12.6","55","9","1","0","0","0","1","13","87.6","6.7","0.0%"
"82","Marquise Goodwin (CLE)","23","44","395","17.2","67","12","4","4","9","0","0","11","87.4","7.9","0.6%"
"83","Quincy Enunwa (FA)","38","68","449","11.8","42","10","1","1","0","0","1","11","86.9","7.9","0.0%"
"84","Randall Cobb (NYJ)","38","61","383","10.1","75","7","2","0","0","0","1","9","86.3","9.6","0.7%"
"85","John Ross (FA)","21","58","210","10.0","39","5","7","4","9","0","0","13","84.9","6.5","0.1%"
"86","Jamison Crowder (NYG)","29","49","388","13.4","79","9","2","4","30","0","0","9","82.8","9.2","0.2%"
"87","Phillip Dorsett II (LV)","32","42","290","9.1","20","1","3","4","29","0","0","16","81.9","5.1","0.1%"
"88","Jermaine Kearse (FA)","37","76","371","10.0","29","3","1","0","0","0","0","14","80.1","5.7","0.0%"
"89","Dontrelle Inman (FA)","28","39","304","10.9","29","4","3","0","0","0","0","9","76.4","8.5","0.0%"
"90","Demarcus Robinson (LAR)","22","33","288","13.1","89","7","4","0","0","0","0","16","74.8","4.7","0.2%"
"91","Ryan Grant (FA)","35","52","334","9.5","23","3","1","0","0","0","0","14","74.4","5.3","0.0%"
"92","Tajae Sharpe (FA)","26","47","316","12.2","28","2","2","1","16","0","0","16","71.2","4.5","0.0%"
"93","Laquon Treadwell (BAL)","35","53","302","8.6","22","1","1","0","0","0","0","15","71.2","4.7","0.1%"
"94","Aldrick Robinson (FA)","17","35","231","13.6","40","5","5","0","0","0","0","14","70.1","5.0","0.0%"
"95","Ryan Switzer (FA)","36","44","253","7.0","24","1","1","6","21","0","0","16","69.4","4.3","0.0%"
"96","Kelvin Benjamin (FA)","25","67","380","15.2","40","11","1","0","0","0","0","15","69.0","4.6","0.1%"
"97","Zach Pascal (ARI)","27","46","268","9.9","28","1","2","2","10","0","0","16","66.8","4.2","0.1%"
"98","DaeSean Hamilton (FA)","30","46","243","8.1","24","1","2","0","0","0","0","14","66.3","4.7","0.0%"
"99","Keke Coutee (NO)","28","41","287","10.3","40","4","1","3","0","0","0","6","62.7","10.5","0.0%"
"100","Geronimo Allison (FA)","20","30","303","15.2","64","8","2","0","0","0","0","5","62.3","12.5","0.0%"
"101","Breshad Perriman (IND)","16","25","340","21.3","66","11","2","4","2","0","0","10","62.2","6.2","0.0%"
"102","Jordan Matthews (FA)","20","28","300","15.0","56","8","2","0","0","0","0","14","62.0","4.4","0.0%"
"103","Allen Hurns (FA)","20","35","295","14.8","49","9","2","0","0","0","0","16","61.5","3.8","0.0%"
"104","DeVante Parker (NE)","24","47","309","12.9","46","7","1","0","0","0","0","11","60.9","5.5","2.7%"
"105","Jaron Brown (FA)","14","19","166","11.9","45","3","5","0","0","0","0","16","60.6","3.8","0.0%"
"106","Jakeem Grant Sr. (CLE)","21","34","268","12.8","52","5","2","1","5","0","0","10","60.3","6.0","0.1%"
"107","Tim Patrick (DEN)","23","41","315","13.7","26","6","1","3","17","0","1","16","60.2","3.8","3.7%"
"108","Bruce Ellington (FA)","31","42","224","7.2","23","2","1","1","2","0","0","7","59.6","8.5","0.0%"
"109","Maurice Harris (FA)","28","47","304","10.9","42","6","0","2","10","0","0","12","59.4","5.0","0.0%"
