,Player,Prediction,Actual,% Error
99,Joshua Palmer (LAC),7.7401066,6.2,24.84042875228389
100,Michael Gallup (DAL),7.2157373,10.2,29.25747703103458
101,Olamide Zaccheaus (PHI),7.682964,6.0,28.049397468566895
102,Kenny Golladay (FA),6.823995,6.4,6.624923646450037
103,Tre'Quan Smith (NO),7.443496,8.8,15.414815599268138
104,Marquez Valdes-Scantling (KC),7.682964,7.9,2.7472930618479325
105,Allen Robinson II (PIT),7.0884314,7.3,2.8982005707205136
106,DeAndre Carter (LV),7.443496,5.1,45.95090641694912
107,Freddie Swain (MIA),7.2666287,5.1,42.48291651407878
108,Jerry Jeudy (DEN),6.722226,8.5,20.91498655431411
109,Henry Ruggs III (FA),7.2157373,12.1,40.36580708401262
110,Nico Collins (HOU),7.0884314,6.0,18.140522638956703
111,Laquon Treadwell (BAL),7.0884314,6.9,2.7308892512666954
112,Kadarius Toney (KC),7.1289835,9.2,22.51104893891707
113,Jauan Jennings (SF),7.1625285,6.3,13.690928807334299
114,Josh Reynolds (DET),7.2157373,7.3,1.154282974870235
115,Julio Jones (FA),7.0884314,8.0,11.39460802078247
116,Keelan Cole Sr. (LV),7.0884314,5.6,26.579131398882193
117,Sterling Shepard (NYG),7.0884314,11.1,36.14025803299638
118,Jamal Agnew (JAC),7.0742044,6.3,12.28895944262308
119,DeSean Jackson (FA),7.2256474,5.4,33.80828610172977
120,T.Y. Hilton (FA),7.4534063,7.4,0.7217072151802634
121,Calvin Ridley (JAC),7.2015104,14.2,49.28513782125123
122,Sammy Watkins (FA),7.0884314,6.4,10.756739974021906
123,Danny Amendola (FA),7.4292693,8.6,13.613147513810976
124,Darius Slayton (NYG),7.2157373,5.3,36.14598760065043
125,Damiere Byrd (CAR),7.0884314,5.9,20.142904378600033
126,Antoine Wesley (FA),7.4292693,7.2,3.1842960251702177
127,Chris Moore (TEN),7.2015104,5.6,28.59840052468437
128,Lil'Jordan Humphrey (DEN),7.2015104,6.2,16.153394022295547
129,Quintez Cephus (DET),7.2015104,9.9,27.257470410279556
130,Malik Turner (IND),7.342599,6.4,14.72810804843902
131,Cyril Grayson Jr. (FA),7.2015104,14.9,51.66771523904481
132,James Proche II (BAL),6.707999,5.2,28.99998518136831
133,JuJu Smith-Schuster (NE),6.707999,7.0,4.171439579554966
134,DJ Chark Jr. (CAR),7.3155146,11.5,36.386829873789914
135,Breshad Perriman (IND),7.0742044,6.7,5.585140968436622
136,Parris Campbell (NYG),7.0742044,5.4,31.00378601639358
137,Dante Pettis (CHI),7.0742044,8.4,15.783280418032694
138,Kristian Wilkerson (LV),8.230961,20.2,59.25266907946898
139,Dez Fitzpatrick (PIT),8.591374,5.3,62.101403722223246
140,Jason Moore Jr. (FA),8.225171,8.6,4.358475707298098
141,Justin Jefferson (MIN),20.12854,21.7,7.241750972062209
142,Tyreek Hill (MIA),18.797894,20.1,6.478141670796416
143,Davante Adams (LV),20.29708,19.7,3.0308583061102117
144,Stefon Diggs (BUF),19.69852,18.9,4.2249770391555135
145,CeeDee Lamb (DAL),18.983717,17.7,7.252638218766556
146,A.J. Brown (PHI),18.842302,17.6,7.058535922657351
147,Amon-Ra St. Brown (DET),15.658132,16.7,6.238732937567244
148,Jaylen Waddle (MIA),17.976648,15.2,18.267423228213666
149,DeVonta Smith (PHI),15.0745325,15.0,0.4968833923339844
150,Amari Cooper (CLE),15.39059,14.5,6.141998027933055
151,Ja'Marr Chase (CIN),15.324834,18.6,17.608420054117847
152,Christian Kirk (JAC),15.091805,14.2,6.280320127245412
153,Tyler Lockett (SEA),15.101384,14.8,2.0363794790731844
154,Terry McLaurin (WAS),14.163188,13.5,4.912503560384115
155,Brandon Aiyuk (SF),15.076364,13.4,12.510175847295502
156,DK Metcalf (SEA),14.837945,13.3,11.563496123579206
157,Mike Evans (TB),14.92942,15.0,0.4705301920572917
158,Tee Higgins (CIN),14.727575,14.9,1.157212737422664
159,Chris Godwin (TB),14.57221,14.9,2.1999307926869256
160,Michael Pittman Jr. (IND),14.291372,13.5,5.862017031069155
161,Garrett Wilson (NYJ),14.032525,12.7,10.492323327252251
162,Jerry Jeudy (DEN),14.40936,13.6,5.9511759701897144
163,Cooper Kupp (LAR),12.639984,22.4,43.57149941580636
164,DJ Moore (CHI),13.6973505,11.7,17.07137181208685
165,Chris Olave (NO),13.656895,13.2,3.461323362408268
166,Zay Jones (JAC),11.474524,12.4,7.463519803939329
167,JuJu Smith-Schuster (NE),13.397349,11.6,15.494391013836042
