"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","145","191","1,947","13.4","59","57","16","4","18","0","0","17","439.5","25.9","99.9%"
"2","Davante Adams (LV)","123","169","1,553","12.6","59","37","11","0","0","0","0","16","344.3","21.5","99.9%"
"3","Deebo Samuel (SF)","77","121","1,405","18.2","83","53","6","59","365","8","2","16","339.0","21.2","98.7%"
"4","Justin Jefferson (MIN)","108","167","1,616","15.0","56","45","10","6","14","0","1","17","330.4","19.4","100.0%"
"5","Ja'Marr Chase (CIN)","81","128","1,455","18.0","82","49","13","7","21","0","1","17","304.6","17.9","100.0%"
"6","Tyreek Hill (MIA)","111","159","1,239","11.2","75","24","9","9","96","0","1","17","296.5","17.4","100.0%"
"7","Stefon Diggs (BUF)","103","164","1,225","11.9","61","24","10","0","0","0","0","17","285.5","16.8","99.9%"
"8","Diontae Johnson (PIT)","107","169","1,161","10.9","50","27","8","5","53","0","2","16","274.4","17.2","92.4%"
"9","Mike Evans (TB)","74","114","1,035","14.0","46","30","14","1","10","0","0","16","262.5","16.4","93.9%"
"10","Hunter Renfrow (LV)","103","128","1,038","10.1","54","14","9","3","3","0","1","17","259.1","15.2","9.9%"
"11","Keenan Allen (LAC)","106","157","1,138","10.7","42","19","6","0","0","0","0","16","257.8","16.1","97.6%"
"12","Mike Williams (LAC)","76","129","1,146","15.1","72","37","9","0","0","0","0","16","246.6","15.4","92.3%"
"13","Jaylen Waddle (MIA)","104","140","1,015","9.8","57","15","6","2","3","1","1","16","245.8","15.4","99.9%"
"14","DK Metcalf (SEA)","75","129","967","12.9","84","19","12","1","6","0","0","17","244.3","14.4","99.3%"
"15","Chris Godwin (TB)","98","127","1,103","11.3","44","19","5","4","21","1","2","14","242.4","17.3","94.7%"
"16","Tyler Lockett (SEA)","73","107","1,175","16.1","69","43","8","2","9","0","0","16","241.4","15.1","94.0%"
"17","Michael Pittman Jr. (IND)","88","129","1,082","12.3","57","20","6","5","44","0","0","17","238.6","14.0","91.6%"
"18","DJ Moore (CHI)","93","163","1,157","12.4","64","20","4","8","48","0","1","17","237.5","14.0","95.5%"
"19","CeeDee Lamb (DAL)","79","120","1,102","13.9","49","31","6","9","76","0","0","16","232.8","14.6","99.9%"
"20","Brandin Cooks (DAL)","90","134","1,037","11.5","52","24","6","2","21","0","0","16","231.8","14.5","87.5%"
"21","Amon-Ra St. Brown (DET)","90","119","912","10.1","37","15","5","7","61","1","0","16","227.3","14.2","99.9%"
"22","Marquise Brown (ARI)","91","146","1,008","11.1","49","24","6","1","5","0","1","16","226.3","14.1","90.2%"
"23","Darnell Mooney (CHI)","81","140","1,055","13.0","64","26","4","6","32","1","0","17","219.7","12.9","45.9%"
"24","Tee Higgins (CIN)","74","110","1,091","14.7","54","25","6","0","0","0","1","14","219.1","15.7","99.8%"
"25","Terry McLaurin (WAS)","77","130","1,053","13.7","46","27","5","1","12","0","0","17","213.5","12.6","95.9%"
"26","Christian Kirk (JAC)","77","103","982","12.8","50","28","5","1","11","0","0","17","207.6","12.2","91.0%"
